audit_row_id,retailer,retailer_country,department,category_path,product_title_raw,extracted_brand_candidate,normalized_brand_candidate,match_status,matched_brand_id,matched_alias_id,parent_extension_candidate_id,audit_date,notes_internal
COLP012,Coles,AU,"Dairy, eggs & fridge","Dairy, Eggs & Fridge",Gippsland Dairy Smooth & Creamy Twist Yoghurt | 700g,Gippsland Dairy,gippsland dairy,parent_unknown,,,EXT0003,2026-04-29,source_url=https://www.coles.com.au/browse/dairy-eggs-fridge?page=23; action=candidate review; notes=Candidate missing brand; Chobani Australia product page/source suggests brand belongs under Chobani.
COLP013,Coles,AU,"Dairy, eggs & fridge","Dairy, Eggs & Fridge",Farmers Union Protein Yoghurt | 900g,Farmers Union,farmers union,matched_canonical_brand,B0337,,,2026-04-29,source_url=https://www.coles.com.au/browse/dairy-eggs-fridge?page=23; action=none; notes=Already present under Bega Group.
COLP014,Coles,AU,Pantry / snacks,Pizza & Pasta Sauces,Val Verde Passata Cooking Sauce | 700mL,Val Verde,val verde,parent_unknown,,,EXT0004,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/sauces/pizza-pasta; action=candidate review; notes=Candidate missing brand/parent; Val Verde privacy/source identifies Conga Foods as brand owner.
COLP015,Coles,AU,Pantry / snacks,Pizza & Pasta Sauces,Dolmio Extra Pasta Sauce Bolognese | 500g,Dolmio,dolmio,matched_canonical_brand,B0042,,,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/sauces/pizza-pasta; action=none; notes=Already present under Mars.
COLP016,Coles,AU,Pantry / snacks,Microwave Rice,Coles Long Grain White Microwave Rice | 250g,Coles,coles,matched_canonical_brand,B0200,,,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/pasta-rice-legumes-grains/microwave-rice; action=none; notes=Already present under Coles Group.
COLP017,Coles,AU,Pantry / snacks,Microwave Rice,Tilda Steamed Basmati Pure Rice | 250g,Tilda,tilda,parent_unknown,,,EXT0005,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/pasta-rice-legumes-grains/microwave-rice; action=candidate review; notes=Candidate missing brand/parent; Ebro Foods acquired Tilda.
COLP018,Coles,AU,Pantry / snacks,"Pasta, Rice, Legumes & Grains",Ben's Original Special Fried Rice Pouch | 250g,Ben's Original,bens original,matched_canonical_brand,B0039,,,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/pasta-rice-legumes-grains?page=8; action=none; notes=Already present under Mars.
COLP019,Coles,AU,Bakery,Packaged Breads,Tip Top The One White Toast Bread | 700g,Tip Top,tip top,matched_canonical_brand,B0301,,,2026-04-29,source_url=https://www.coles.com.au/browse/bakery/packaged-breads; action=none; notes=Already present under Associated British Foods.
COLP020,Coles,AU,Bakery,Packaged Breads,Abbott's Bakery Rustic White Bread | 700g,Abbott's Bakery,abbotts bakery,matched_canonical_brand,B0302,,,2026-04-29,source_url=https://www.coles.com.au/browse/bakery/packaged-breads; action=none; notes=Already present under Associated British Foods.
COLP021,Coles,AU,Bakery,Free From Bakery,Helga's Gluten Free Mixed Grain Bread | 500g,Helga's,helgas,matched_canonical_brand,B0171,,,2026-04-29,source_url=https://www.coles.com.au/browse/dietary-world-foods/free-from?page=9; action=none; notes=Already present under Goodman Fielder.
COLP022,Coles,AU,Pantry / snacks,"Pantry > Canned Food, Soups & Noodles",Heinz Rigatoni Pasta Meal With Creamy Alfredo | 350g,Heinz,heinz,matched_canonical_brand,B0114,,,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/canned-food-soups-noodles; action=; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP023,Coles,AU,Pantry / snacks,"Pantry > Canned Food, Soups & Noodles > Baked Beans & Spaghetti",Wattie’s Spaghetti Regular | 420g,Wattie's,watties,matched_canonical_brand,B0116,,,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/canned-food-soups-noodles/baked-beans-spaghetti; action=; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP024,Coles,AU,Pantry / snacks,"Pantry > Canned Food, Soups & Noodles",SPC Spaghetti in Tomato & Cheese | 420g,SPC,spc,insufficient_source,,,PEC0006,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/canned-food-soups-noodles?page=18; action=Review parent/brand and add candidate if source supports it.; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP025,Coles,AU,Pantry / snacks,"Pantry > Canned Food, Soups & Noodles",John West Tuna Tomato & Onion 98% Fat Free | 95g,John West,john west,matched_canonical_brand,B0178,,,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/canned-food-soups-noodles?page=25; action=; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP026,Coles,AU,Pantry / snacks,"Pantry > Canned Food, Soups & Noodles",Edgell Snack Time Red Kidney Beans With Chilli & Olive Oil | 70g,Edgell,edgell,matched_canonical_brand,B0177,,,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/canned-food-soups-noodles?page=25; action=; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP027,Coles,AU,Pantry / snacks,"Pantry > Canned Food, Soups & Noodles > Noodles",Indomie Fried Mi Goreng Instant Noodles 5x85g | 425g,Indomie,indomie,insufficient_source,,,PEC0007,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/canned-food-soups-noodles/noodles; action=Review parent/brand and add candidate if source supports it.; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP028,Coles,AU,Pantry / snacks,"Pantry > Canned Food, Soups & Noodles > Noodles",Maggi 2 Minute Instant Noodles Chicken Flavour 5 Pack | 360g,Maggi,maggi,matched_canonical_brand,B0063,,,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/canned-food-soups-noodles/noodles; action=; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP029,Coles,AU,Pantry / snacks,"Pantry > Canned Food, Soups & Noodles > Noodles",Fantastic Chicken Noodle Cup | 70g,Fantastic,fantastic,insufficient_source,,,PEC0008,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/canned-food-soups-noodles?page=5; action=Review parent/brand and add candidate if source supports it.; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP030,Coles,AU,Pantry / snacks,"Pantry > Canned Food, Soups & Noodles > Soup",Continental Cup A Soup Creamy Chicken With Lots Of Noodles Serves 2 | 60g,Continental,continental,matched_canonical_brand,B0100,,,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/canned-food-soups-noodles; action=; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP031,Coles,AU,"Dairy, eggs & fridge","Dairy, Eggs & Fridge > Ready to Eat Meals",My Muscle Chef Crumbed Chicken Roast Potatoes | 340g,My Muscle Chef,my muscle chef,insufficient_source,,,PEC0009,2026-04-29,source_url=https://www.coles.com.au/browse/dairy-eggs-fridge/ready-to-eat-meals; action=Review parent/brand and add candidate if source supports it.; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP032,Coles,AU,"Dairy, eggs & fridge","Dairy, Eggs & Fridge > Ready to Eat Meals > Other Ready Meals",Youfoodz Fueld Chicken In Satay Sauce With Rice & Veg | 405g,Youfoodz,youfoodz,insufficient_source,,,PEC0010,2026-04-29,source_url=https://www.coles.com.au/browse/dairy-eggs-fridge/ready-to-eat-meals/other-ready-meals?page=3; action=Review parent/brand and add candidate if source supports it.; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP033,Coles,AU,"Dairy, eggs & fridge","Dairy, Eggs & Fridge > Ready to Eat Meals",On The Menu Vegetable Pad Thai Bowl | 350g,On The Menu,on the menu,matched_canonical_brand,B0468,,,2026-04-29,source_url=https://www.coles.com.au/browse/dairy-eggs-fridge/ready-to-eat-meals; action=; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP034,Coles,AU,"Dairy, eggs & fridge","Dairy, Eggs & Fridge > Ready to Eat Meals",Super Nature Wellness Bowl Chicken Pad Thai | 350g,Super Nature,super nature,insufficient_source,,,PEC0011,2026-04-29,source_url=https://www.coles.com.au/browse/dairy-eggs-fridge/ready-to-eat-meals; action=Review parent/brand and add candidate if source supports it.; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP035,Coles,AU,Frozen / chilled ready meals,Frozen > Frozen Meals,Lean Cuisine Indian Butter Chicken With Rice | 375g,Lean Cuisine,lean cuisine,insufficient_source,,,PEC0012,2026-04-29,source_url=https://www.coles.com.au/browse/frozen/frozen-meals; action=Review parent/brand and add candidate if source supports it.; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP036,Coles,AU,Frozen / chilled ready meals,Frozen > Frozen Meals,McCain Healthy Choice Naked Beef Burrito | 300g,Healthy Choice,healthy choice,insufficient_source,,,PEC0013,2026-04-29,source_url=https://www.coles.com.au/browse/frozen/frozen-meals; action=Review parent/brand and add candidate if source supports it.; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP037,Coles,AU,Pantry / snacks,"Chips, Chocolates & Snacks > Chips",Red Rock Deli Potato Chips Thai Chilli & Lime | 165g,Red Rock Deli,red rock deli,matched_canonical_brand,B0079,,,2026-04-29,source_url=https://www.coles.com.au/browse/chips-chocolates-snacks/chips; action=; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP038,Coles,AU,Pantry / snacks,"Chips, Chocolates & Snacks > Chips",Smith's Twisties Snacks Party Bag Share Pack Chicken Cheese | 270g,Twisties,twisties,matched_canonical_brand,B0080,,,2026-04-29,source_url=https://www.coles.com.au/product/smith%27s-twisties-snacks-party-bag-share-pack-chicken-cheese-270g-3302731; action=; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP039,Coles,AU,Pantry / snacks,"Chips, Chocolates & Snacks > Chips",Pringles Potato Chips Original | 134g,Pringles,pringles,matched_canonical_brand,B0558,,,2026-04-29,source_url=https://www.coles.com.au/product/pringles-potato-chips-original-134g-2784047; action=; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP040,Coles,AU,Pantry / snacks,"Chips, Chocolates & Snacks > Snacks",Cobs Lightly Salted Slightly Sweet Popcorn | 120g,Cobs,cobs,insufficient_source,,,PEC0014,2026-04-29,source_url=https://www.coles.com.au/product/cobs-lightly-salted-slightly-sweet-popcorn-120g-6772389; action=Review parent/brand and add candidate if source supports it.; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP041,Coles,AU,Pantry / snacks,"Chips, Chocolates & Snacks > Snacks",Sakata Rice Crackers Plain | 90g,Sakata,sakata,matched_canonical_brand,B0081,,,2026-04-29,source_url=https://www.coles.com.au/product/sakata-rice-crackers-plain-90g-8782044; action=; notes=v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
