enum_group,enum_value,description
stewardship_action_type,review_state_change,A3/A5 v0.12 pack enum value for stewardship_action_type
stewardship_action_type,merge_entities,A3/A5 v0.12 pack enum value for stewardship_action_type
stewardship_action_type,split_entities,A3/A5 v0.12 pack enum value for stewardship_action_type
stewardship_action_type,candidate_promoted,A3/A5 v0.12 pack enum value for stewardship_action_type
stewardship_action_type,candidate_rejected,A3/A5 v0.12 pack enum value for stewardship_action_type
source_type,corporate_press_release,A3/A5 v0.12 pack enum value for source_type
source_type,future_data_provider,A3/A5 v0.12 pack enum value for source_type
source_type,imported_seed,A3/A5 v0.12 pack enum value for source_type
source_type,manual_stewardship,A3/A5 v0.12 pack enum value for source_type
source_type,official_brand_page,A3/A5 v0.12 pack enum value for source_type
source_type,official_company_page,A3/A5 v0.12 pack enum value for source_type
source_type,official_company_portfolio_page,A3/A5 v0.12 pack enum value for source_type
source_type,official_parent_brand_page,A3/A5 v0.12 pack enum value for source_type
source_type,other,A3/A5 v0.12 pack enum value for source_type
source_type,packaging_observation,A3/A5 v0.12 pack enum value for source_type
source_type,product_specification_document,A3/A5 v0.12 pack enum value for source_type
source_type,retailer_brand_page,A3/A5 v0.12 pack enum value for source_type
source_type,retailer_catalogue_audit,A3/A5 v0.12 pack enum value for source_type
source_type,retailer_category_page,A3/A5 v0.12 pack enum value for source_type
source_type,retailer_own_brand_page,A3/A5 v0.12 pack enum value for source_type
source_type,retailer_product_page,A3/A5 v0.12 pack enum value for source_type
binary_y_n,Y,A3/A5 v0.12 pack enum value for binary_y_n
binary_y_n,N,A3/A5 v0.12 pack enum value for binary_y_n
match_status,matched_canonical_brand,A3/A5 v0.12 pack enum value for match_status
match_status,matched_alias,A3/A5 v0.12 pack enum value for match_status
match_status,parent_known_brand_missing,A3/A5 v0.12 pack enum value for match_status
match_status,parent_unknown,A3/A5 v0.12 pack enum value for match_status
match_status,insufficient_source,A3/A5 v0.12 pack enum value for match_status
match_status,excluded_non_food_beverage,A3/A5 v0.12 pack enum value for match_status
match_status,duplicate_or_rejected,A3/A5 v0.12 pack enum value for match_status
