claimId,approvedWording_or_exactText,claimClass,surfaceLocation,sourceType,sourceReference,dependentFields,dependentCodePath,owner,status,lastReviewedDate,mustNotSay,notes
legal-disclaimer-p5,SOURCE:i18n result.legalDisclaimerModalP5,C_app_native_interpretation,Result disclaimer modal,i18n,src/i18n/locales/en.json:result.legalDisclaimerModalP5,modal paragraph,src/components/productLegal/ProductDisclaimerCard.tsx,Legal/Compliance,approved,2026-04-14,,
legal-disclaimer-p6,SOURCE:i18n result.legalDisclaimerModalP6,C_app_native_interpretation,Result disclaimer modal,i18n,src/i18n/locales/en.json:result.legalDisclaimerModalP6,modal paragraph,src/components/productLegal/ProductDisclaimerCard.tsx,Legal/Compliance,approved,2026-04-14,,
legal-disclaimer-p7,SOURCE:i18n result.legalDisclaimerModalP7,C_app_native_interpretation,Result disclaimer modal,i18n,src/i18n/locales/en.json:result.legalDisclaimerModalP7,modal paragraph,src/components/productLegal/ProductDisclaimerCard.tsx,Legal/Compliance,approved,2026-04-14,,
legal-data-limits-p1,SOURCE:i18n result.legalDataLimitationsModalP1,C_app_native_interpretation,Result data limitations modal,i18n,src/i18n/locales/en.json:result.legalDataLimitationsModalP1,modal paragraph,src/components/productLegal/ProductDisclaimerCard.tsx,Legal/Compliance,approved,2026-04-14,,
legal-data-limits-p2,SOURCE:i18n result.legalDataLimitationsModalP2,C_app_native_interpretation,Result data limitations modal,i18n,src/i18n/locales/en.json:result.legalDataLimitationsModalP2,modal paragraph,src/components/productLegal/ProductDisclaimerCard.tsx,Legal/Compliance,approved,2026-04-14,safe for you|unsafe for you,Explicit negation of safety claims
legal-data-limits-p3,SOURCE:i18n result.legalDataLimitationsModalP3,C_app_native_interpretation,Result data limitations modal,i18n,src/i18n/locales/en.json:result.legalDataLimitationsModalP3,modal paragraph,src/components/productLegal/ProductDisclaimerCard.tsx,Legal/Compliance,approved,2026-04-14,,
legal-data-limits-p4,SOURCE:i18n result.legalDataLimitationsModalP4,C_app_native_interpretation,Result data limitations modal,i18n,src/i18n/locales/en.json:result.legalDataLimitationsModalP4,modal paragraph,src/components/productLegal/ProductDisclaimerCard.tsx,Legal/Compliance,approved,2026-04-14,money-back guarantee|fda approved listing,
legal-data-limits-p5,SOURCE:i18n result.legalDataLimitationsModalP5,C_app_native_interpretation,Result data limitations modal,i18n,src/i18n/locales/en.json:result.legalDataLimitationsModalP5,modal paragraph,src/components/productLegal/ProductDisclaimerCard.tsx,Legal/Compliance,approved,2026-04-14,,
method-info-modal-note,SOURCE:i18n infoModal.trustScore.note,C_app_native_interpretation,Rveel Score info modal,i18n,src/i18n/locales/en.json:infoModal.trustScore.note,trustScore.note,src/components/TrustScoreInfoModal.tsx;src/config/methodologyVersion.ts,Data/Methodology,approved,2026-04-14,secret algorithm|100% accurate,Phase 3: version lock doc + Jest test vs methodologyVersion.ts
method-info-modal-description,SOURCE:i18n infoModal.trustScore.description,C_app_native_interpretation,Rveel Score info modal,i18n,src/i18n/locales/en.json:infoModal.trustScore.description,trustScore.description,src/components/TrustScoreInfoModal.tsx,Data/Methodology,draft,2026-04-14,,EN copy contains negated proprietary phrasing; do not add mustNotSay substring false positives
method-info-modal-formula,SOURCE:i18n infoModal.trustScore.formula,C_app_native_interpretation,Rveel Score info modal,i18n,src/i18n/locales/en.json:infoModal.trustScore.formula,trustScore.formula,src/components/TrustScoreInfoModal.tsx,Data/Methodology,draft,2026-04-14,,Body floor text must match engine
share-burn-prefill,SOURCE:i18n nutrition.burnSharePrefill,C_app_native_interpretation,Nutrition burn share prefill,i18n,src/i18n/locales/en.json:nutrition.burnSharePrefill,interpolated template,src/utils/nutritionShareCopy.ts;src/features/sharing/services/ShareContentBuilder.ts,Legal/Compliance,approved,2026-04-14,prescription drug|cures obesity,MET disclaimer present
share-truscore-viral-body,Dynamic template in ShareContentBuilder,C_app_native_interpretation,Share sheet truScore item,code,ShareContentBuilder.buildTruScoreContent,productName score body planet ethics open,src/features/sharing/services/ShareContentBuilder.ts,Product,approved,2026-04-14,HealthyEating|EthicalShopping,Phase 3: defensible hooks and hashtags
share-product-info-default,Dynamic template buildProductInfoContent,C_app_native_interpretation,Share default product info,code,ShareContentBuilder.buildProductInfoContent,product fields,src/features/sharing/services/ShareContentBuilder.ts,Product,draft,2026-04-14,,Trace per branch
share-recall-template,Dynamic recall strings,A_direct_product_fact,Share recall item,code+data,product.recalls[],recall title/url,src/features/sharing/services/ShareContentBuilder.ts,Legal/Compliance,draft,2026-04-14,confirmed kill,Facts from agencies
score-truscore-analysis-modal-title,SOURCE: hardcoded title prop,C_app_native_interpretation,Rveel Score breakdown modal,code,TruScoreAnalysisModal,title,src/components/TruScoreAnalysisModal.tsx,Engineering,approved,2026-04-14,TruScore|TrueScan,File name legacy; UI string Rveel
score-insufficient-data,SOURCE:i18n result.insufficientDataMessage,C_app_native_interpretation,Result when score unavailable,i18n,src/i18n/locales/en.json:result.insufficientDataMessage,insufficientDataMessage,app/result/* TruScoreCard,Data/Methodology,draft,2026-04-14,,
highlights-body-nutri-a-title,Excellent nutrient balance,C_app_native_interpretation,Score highlights card,code,BODY_HIGHLIGHTS body-nutri-a,title,src/config/scoreHighlightDefinitions.ts,Data/Methodology,approved,2026-04-14,excellent health|proven,Phase 3: description remediated; title kept consumer-friendly
highlights-body-nutri-a-desc,Nutri-Score A: favourable nutrient profile per public Nutri-Score rules,C_app_native_interpretation,Score highlights card,code,BODY_HIGHLIGHTS body-nutri-a,description,src/config/scoreHighlightDefinitions.ts,Data/Methodology,approved,2026-04-14,boosts health|good for your health,Phase 3: health-outcome wording removed
highlights-external-nutriscore,OFF Nutri-Score URL,B_third_party_methodology_output,Score highlights link-out,third_party,Open Food Facts Nutri-Score,nutriscore_grade,src/config/scoreHighlightDefinitions.ts,Data/Methodology,approved,2026-04-14,,
banner-recall-active,Dynamic recall banner,A_direct_product_fact,Result banner strip,data,product.recalls,recallDate classification,src/services/bannerAlertsService.ts,Legal/Compliance,draft,2026-04-14,,
banner-ethics-bbfaw-ktc,Dynamic ethics pillar mirrors,C_app_native_interpretation,Result banner strip,code,calculateEthicsPillar + buildEthicsPillarBannerAlerts,ethics pillar factors,src/services/bannerAlertsService.ts;src/services/ethicsPillarBannerAlerts.ts;src/lib/truscoreEngine/pillars/ethicsPillar.ts,Data/Methodology,draft,2026-04-14,TruScore|TrueScan,Comment in bannerAlertsService still says TruScore engine
banner-user-preference-match,User preference alerts,D_user_preference_overlay,Result banner strip,code,generateBannerAlerts userPreferences,AlertsPreferences,src/services/bannerAlertsService.ts;src/store/useAlertsStore.ts,Product,draft,2026-04-14,unsafe product,Must stay preference-scoped
paywall-subscription-subtitle,SOURCE:i18n subscription.subtitle,C_app_native_interpretation,Subscription screen,i18n,src/i18n/locales/en.json:subscription.subtitle,subtitle,app/subscription.tsx,Product,approved,2026-04-14,guaranteed,
paywall-best-value-label,SOURCE:i18n subscription.bestValue,C_app_native_interpretation,Subscription screen,i18n,src/i18n/locales/en.json:subscription.bestValue,bestValue,app/subscription.tsx,Product,draft,2026-04-14,best for health,Financial best value only
paywall-feature-enhanced-score,SOURCE:i18n subscription.features.enhancedTrustScoreDesc,C_app_native_interpretation,Subscription screen,i18n,src/i18n/locales/en.json:subscription.features.enhancedTrustScoreDesc,enhancedTrustScoreDesc,app/subscription.tsx,Product,draft,2026-04-14,,
paywall-search-unlock-body,SOURCE:i18n search.paywall.body,C_app_native_interpretation,Search paywall modal,i18n,src/i18n/locales/en.json:search.paywall.body,search.paywall.body,app/search.tsx,Product,draft,2026-04-14,guaranteed results,
premium-feature-copy-offline,PremiumFeatureDescriptions OFFLINE_MODE,C_app_native_interpretation,In-app premium feature list,code,PremiumFeatureDescriptions,description,src/utils/premiumFeatures.ts,Product,draft,2026-04-14,guaranteed offline,
premium-feature-copy-enhanced,PremiumFeatureDescriptions ENHANCED_INSIGHTS,C_app_native_interpretation,In-app premium feature list,code,PremiumFeatureDescriptions,description,src/utils/premiumFeatures.ts,Product,approved,2026-04-14,personalized recommendations,Phase 3: copy aligned to shipped capability
native-permission-camera,SOURCE: productIdentity.expo.json cameraPermission,C_app_native_interpretation,OS permission dialog,config,src/config/productIdentity.expo.json,cameraPermission,app.config.js expo-camera,Legal/Compliance,draft,2026-04-14,medical diagnosis,
native-permission-location,SOURCE: productIdentity.expo.json locationWhenInUse,C_app_native_interpretation,OS permission dialog,config,src/config/productIdentity.expo.json,locationWhenInUse,app.config.js,Legal/Compliance,draft,2026-04-14,,
settings-methodology-label,SOURCE:i18n settings.methodology,C_app_native_interpretation,Settings navigation label,i18n,src/i18n/locales/en.json:settings.methodology,methodology,app/settings.tsx,Product,approved,2026-04-14,,
settings-open-source-attribution,SOURCE:i18n settings.openSourceMessage,A_direct_product_fact,Settings about,i18n,src/i18n/locales/en.json:settings.openSourceMessage,openSourceMessage,app/settings.tsx,Product,draft,2026-04-14,,Data sources list
scan-screen-title,SOURCE:i18n scan.title,C_app_native_interpretation,Scan tab header,i18n,src/i18n/locales/en.json:scan.title,scan.title,app/(tabs)/scan or scan route,Product,approved,2026-04-14,TrueScan,
scan-screen-permission-text,SOURCE:i18n scan.permissionText,C_app_native_interpretation,Scan permission prompt,i18n,src/i18n/locales/en.json:scan.permissionText,permissionText,app/(tabs) scan,Legal/Compliance,draft,2026-04-14,,
search-nutriscore-filter-label,SOURCE:i18n search.nutriscoreTitle,B_third_party_methodology_output,Search filters UI,i18n,src/i18n/locales/en.json:search.nutriscoreTitle,nutriscoreTitle,search filters components,Data/Methodology,approved,2026-04-14,,
web-legal-terms-page,Rveel-branded HTML shell,C_app_native_interpretation,Web /terms from app link,code,termsPageHtml,static HTML,backend/vercel/lib/rveelLegalPages.ts;backend/vercel/api/terms.ts,Legal/Compliance,draft,2026-04-14,TrueScan|TruScore,Stub until counsel replaces body
web-legal-privacy-page,Rveel-branded HTML shell,C_app_native_interpretation,Web /privacy from app link,code,privacyPageHtml,static HTML,backend/vercel/lib/rveelLegalPages.ts;backend/vercel/api/privacy.ts,Legal/Compliance,draft,2026-04-14,TrueScan|TruScore,
web-share-landing-meta,Dynamic OG title/description,C_app_native_interpretation,Universal link preview,code,shareLandingMeta getShareLandingTitle,barcode context,backend/vercel/lib/shareLandingMeta.ts;backend/vercel/api/barcode/[barcode].ts,Engineering,draft,2026-04-14,TrueScan|TruScore,Keep aligned with productIdentity
barcode-display,Product barcode digits,A_direct_product_fact,Result header,data,product.code|barcode,barcode,app/result/[barcode].tsx;types/Product,Engineering,approved,2026-04-14,,
product-name-display,Product name from OFF/product record,A_direct_product_fact,Result header,data,product.product_name,product_name,OFF mapping services,Engineering,approved,2026-04-14,,
nutri-score-grade-label,Nutri-Score letter grade,B_third_party_methodology_output,Result nutrition UI,data,product.nutriscore_grade,nutriscore_grade,src/services/openFoodFacts.ts;UI cards,Data/Methodology,approved,2026-04-14,Rveel Nutri-Score,Do not imply Rveel owns Nutri-Score
eco-score-grade-label,Eco-Score letter grade,B_third_party_methodology_output,Result planet UI,data,product.ecoscore_grade,ecoscore_grade,src/services/openFoodFacts.ts,Data/Methodology,approved,2026-04-14,,
nova-group-label,NOVA processing group,B_third_party_methodology_output,Result body UI,data,product.nova_group,nova_group,src/services/openFoodFacts.ts,Data/Methodology,approved,2026-04-14,,
rveel-score-number,0-100 composite from engine,C_app_native_interpretation,Result TruScoreCard,code,trust_score calculation,trust_score trust_score_breakdown,src/lib/truscoreEngine/**;app/result,Data/Methodology,draft,2026-04-14,government score,Trace major version in methodology copy
scan-partial-banner,SOURCE:i18n result.analysisPartialTitle + result.analysisPartialSubtitle,C_app_native_interpretation,Result scan status banner,i18n,src/i18n/locales/en.json:result.analysisPartialTitle,terminal_state partial,app/result/[barcode].tsx,Product,draft,2026-04-14,complete analysis|guaranteed final,
signals-limited-data,SOURCE:i18n result.signals.limited_data.*,C_app_native_interpretation,Scan contract transparency banner,i18n,src/i18n/locales/en.json:result.signals.limited_data,data completeness,src/services/buildProductScanResult.ts;src/utils/scanResultPresentation.ts,Data/Methodology,draft,2026-04-14,unsafe to eat|medical advice,
signals-web-search,SOURCE:i18n result.signals.web_search_source.*,C_app_native_interpretation,Scan contract transparency banner,i18n,src/i18n/locales/en.json:result.signals.web_search_source,web_search source,src/services/buildProductScanResult.ts,Legal/Compliance,draft,2026-04-14,official government recall,
signals-preference-footer,SOURCE:i18n result.signals.preferenceBasedFooter,D_user_preference_overlay,Preference banner footer,i18n,src/i18n/locales/en.json:result.signals.preferenceBasedFooter,user preferences,src/utils/scanResultPresentation.ts,Product,approved,2026-04-14,regulatory requirement|mandatory recall,
