audit_row_id,retailer,retailer_category,source_page_title,source_url,catalogue_product_title_or_snippet,extracted_brand_candidate,match_basis,matched_y_n,matched_brand_id,matched_canonical_brand_name,matched_parent_display_name,gap_type,recommended_action,priority,notes
COLP026,Coles,"Pantry > Canned Food, Soups & Noodles","Coles Canned Food, Soups & Noodles",https://www.coles.com.au/browse/pantry/canned-food-soups-noodles?page=25,Edgell Snack Time Red Kidney Beans With Chilli & Olive Oil | 70g,Edgell,direct_brand,Y,B0177,Edgell,Simplot Australia Pty Limited,,,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP027,Coles,"Pantry > Canned Food, Soups & Noodles > Noodles",Coles Noodles,https://www.coles.com.au/browse/pantry/canned-food-soups-noodles/noodles,Indomie Fried Mi Goreng Instant Noodles 5x85g | 425g,Indomie,no_match,N,,,,candidate_parent_or_brand_gap,Review parent/brand and add candidate if source supports it.,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP028,Coles,"Pantry > Canned Food, Soups & Noodles > Noodles",Coles Noodles,https://www.coles.com.au/browse/pantry/canned-food-soups-noodles/noodles,Maggi 2 Minute Instant Noodles Chicken Flavour 5 Pack | 360g,Maggi,direct_brand,Y,B0063,Maggi,Nestlé S.A.,,,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP029,Coles,"Pantry > Canned Food, Soups & Noodles > Noodles",Coles Noodles,https://www.coles.com.au/browse/pantry/canned-food-soups-noodles?page=5,Fantastic Chicken Noodle Cup | 70g,Fantastic,no_match,N,,,,candidate_parent_or_brand_gap,Review parent/brand and add candidate if source supports it.,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP030,Coles,"Pantry > Canned Food, Soups & Noodles > Soup",Coles Soup,https://www.coles.com.au/browse/pantry/canned-food-soups-noodles,Continental Cup A Soup Creamy Chicken With Lots Of Noodles Serves 2 | 60g,Continental,direct_brand,Y,B0100,Continental,Unilever PLC,,,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP031,Coles,"Dairy, Eggs & Fridge > Ready to Eat Meals",Coles Ready to Eat Meals,https://www.coles.com.au/browse/dairy-eggs-fridge/ready-to-eat-meals,My Muscle Chef Crumbed Chicken Roast Potatoes | 340g,My Muscle Chef,no_match,N,,,,candidate_parent_or_brand_gap,Review parent/brand and add candidate if source supports it.,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP032,Coles,"Dairy, Eggs & Fridge > Ready to Eat Meals > Other Ready Meals",Coles Other Ready Meals,https://www.coles.com.au/browse/dairy-eggs-fridge/ready-to-eat-meals/other-ready-meals?page=3,Youfoodz Fueld Chicken In Satay Sauce With Rice & Veg | 405g,Youfoodz,no_match,N,,,,candidate_parent_or_brand_gap,Review parent/brand and add candidate if source supports it.,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP033,Coles,"Dairy, Eggs & Fridge > Ready to Eat Meals",Coles Ready to Eat Meals,https://www.coles.com.au/browse/dairy-eggs-fridge/ready-to-eat-meals,On The Menu Vegetable Pad Thai Bowl | 350g,On The Menu,direct_brand,Y,B0468,On The Menu,Patties Food Group Pty Limited,,,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP034,Coles,"Dairy, Eggs & Fridge > Ready to Eat Meals",Coles Ready to Eat Meals,https://www.coles.com.au/browse/dairy-eggs-fridge/ready-to-eat-meals,Super Nature Wellness Bowl Chicken Pad Thai | 350g,Super Nature,no_match,N,,,,candidate_parent_or_brand_gap,Review parent/brand and add candidate if source supports it.,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP035,Coles,Frozen > Frozen Meals,Coles Frozen Meals,https://www.coles.com.au/browse/frozen/frozen-meals,Lean Cuisine Indian Butter Chicken With Rice | 375g,Lean Cuisine,no_match,N,,,,candidate_parent_or_brand_gap,Review parent/brand and add candidate if source supports it.,medium,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP036,Coles,Frozen > Frozen Meals,Coles Frozen Meals,https://www.coles.com.au/browse/frozen/frozen-meals,McCain Healthy Choice Naked Beef Burrito | 300g,Healthy Choice,no_match,N,,,,candidate_parent_or_brand_gap,Review parent/brand and add candidate if source supports it.,medium,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP037,Coles,"Chips, Chocolates & Snacks > Chips",Coles Chips,https://www.coles.com.au/browse/chips-chocolates-snacks/chips,Red Rock Deli Potato Chips Thai Chilli & Lime | 165g,Red Rock Deli,direct_brand,Y,B0079,Red Rock Deli,"PepsiCo, Inc.",,,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP038,Coles,"Chips, Chocolates & Snacks > Chips",Coles Chips,https://www.coles.com.au/product/smith%27s-twisties-snacks-party-bag-share-pack-chicken-cheese-270g-3302731,Smith's Twisties Snacks Party Bag Share Pack Chicken Cheese | 270g,Twisties,direct_brand,Y,B0080,Twisties,"PepsiCo, Inc.",,,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP039,Coles,"Chips, Chocolates & Snacks > Chips",Coles Chips,https://www.coles.com.au/product/pringles-potato-chips-original-134g-2784047,Pringles Potato Chips Original | 134g,Pringles,direct_brand,Y,B0558,Pringles,"Mars, Incorporated",,,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP040,Coles,"Chips, Chocolates & Snacks > Snacks",Coles Snacks,https://www.coles.com.au/product/cobs-lightly-salted-slightly-sweet-popcorn-120g-6772389,Cobs Lightly Salted Slightly Sweet Popcorn | 120g,Cobs,no_match,N,,,,candidate_parent_or_brand_gap,Review parent/brand and add candidate if source supports it.,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
COLP041,Coles,"Chips, Chocolates & Snacks > Snacks",Coles Snacks,https://www.coles.com.au/product/sakata-rice-crackers-plain-90g-8782044,Sakata Rice Crackers Plain | 90g,Sakata,direct_brand,Y,B0081,Sakata,"PepsiCo, Inc.",,,high,v0.7 focused Coles audit row. Match is exact/alias against v0.7 asset if present; gaps flow to Parent_Extension_Candidates.
