parent_id,canonical_parent_name,display_parent_name,parent_type,parent_operating_role,parent_cohort_category,au_shelf_priority_y_n,nz_shelf_priority_y_n,bbfaw_seed_asset_member_y_n,ktc_seed_asset_member_y_n,core_uat_asset_member_y_n,review_state,primary_source_type,primary_source_id,primary_source_name,primary_source_url_or_reference,source_harvest_date,substantiation_note,notes_internal
P0011,The Coca-Cola Company,The Coca-Cola Company,public_company,brand_owner,global_food_beverage_parent,Y,Y,N,N,N,reviewed,official_parent_brand_page,SRC_COCA_COLA_AU_BRANDS,Coca‑Cola Australia — Brands,https://www.coca-cola.com/au/en/brands,2026-04-28,v0.3 parent/brand source harvested from Coca‑Cola Australia — Brands; current-chain mapping remains founder-reviewable.,Requires bottler/brand-owner distinction notes later.
P0012,Danone S.A.,Danone S.A.,public_company,brand_owner,global_food_beverage_parent,Y,Y,Y,N,N,reviewed,official_parent_brand_page,SRC_DANONE_GLOBAL_BRANDS,Danone — Brands,https://www.danone.com/brands.html,2026-04-28,v0.3 parent/brand source harvested from Danone — Brands; current-chain mapping remains founder-reviewable.,Official AU/NZ brand source harvesting pending. v0.9 reconciled source name 'Groupe Danone SA'.
P0013,Unilever PLC,Unilever PLC,public_company,brand_owner,global_food_beverage_parent,Y,Y,Y,Y,N,reviewed,official_parent_brand_page,SRC_UNILEVER_AU_BRANDS,Unilever Australia & New Zealand,https://www.unilever.com.au/,2026-04-28,v0.3 parent/brand source harvested from Unilever Australia & New Zealand; current-chain mapping remains founder-reviewable.,Do not attach ice cream brands until TMICC review resolved. v0.9 reconciled source name 'Unilever NV'. v0.9 reconciled source name 'Unilever plc'.
P0014,The Magnum Ice Cream Company N.V.,The Magnum Ice Cream Company N.V.,public_company,brand_owner,global_food_beverage_parent,Y,Y,N,N,N,reviewed,official_brand_page,SRC_TMICC_DEMERGER_INFO,The Magnum Ice Cream Company — Demerger Information,https://corporate.magnumicecream.com/en/investors/demerger-information.html,2026-04-28,v0.3 parent/brand source harvested from Streets Ice Cream — Brands; current-chain mapping remains founder-reviewable.,Founder approved TMICC/Unilever ice cream demerger current-chain treatment in v0.5. v0.10 founder decision: TMICC promoted/approved as current owner of relevant ice-cream brands after Unilever demerger.
P0015,"General Mills, Inc.","General Mills, Inc.",public_company,brand_owner,global_food_beverage_parent,Y,Y,Y,Y,N,reviewed,official_parent_brand_page,SRC_GENERAL_MILLS_AU_BRANDS,General Mills Australia — Brands,https://www.generalmills.com.au/brands,2026-04-28,v0.3 parent/brand source harvested from General Mills Australia — Brands; current-chain mapping remains founder-reviewable.,"Official AU/NZ brand source harvesting pending. v0.9 reconciled source name 'General Mills Inc'. v0.9 reconciled source name 'General Mills, Inc.'."
P0016,The Kraft Heinz Company,The Kraft Heinz Company,public_company,brand_owner,global_food_beverage_parent,Y,Y,Y,Y,Y,reviewed,official_parent_brand_page,SRC_KRAFT_HEINZ_BRANDS,Kraft Heinz — Beloved Global Brands,https://www.kraftheinzcompany.com/brands.html,2026-04-28,v0.3 parent/brand source harvested from Kraft Heinz — Beloved Global Brands; current-chain mapping remains founder-reviewable.,Official AU/NZ brand source harvesting pending. v0.9 reconciled source name 'Kraft Heinz Company'. v0.9 reconciled source name 'The Kraft Heinz Company'. v0.9 UAT-led promotion/reconciliation.
P0017,Ferrero Group,Ferrero Group,private_company,brand_owner,global_food_beverage_parent,Y,Y,Y,N,N,reviewed,official_parent_brand_page,SRC_FERRERO_AU_BRANDS,Ferrero Australia & New Zealand — Brands,https://www.ferrero.com/au/en/our-brands,2026-04-28,v0.3 parent/brand source harvested from Ferrero Australia & New Zealand — Brands; current-chain mapping remains founder-reviewable.,Review benchmark membership. v0.9 reconciled source name 'Ferrero Group'.
P0018,Associated British Foods plc,Associated British Foods plc,public_company,mixed,global_food_beverage_parent,Y,Y,N,Y,N,reviewed,official_parent_brand_page,SRC_ABF_BRANDS,Associated British Foods — Our Businesses,https://www.abf.co.uk/our-businesses,2026-04-28,v0.3 parent/brand source harvested from Associated British Foods — Our Businesses; current-chain mapping remains founder-reviewable.,Official source harvesting pending. v0.9 reconciled source name 'Associated British Foods plc'.
P0019,Barilla G. e R. Fratelli S.p.A.,Barilla G. e R. Fratelli S.p.A.,private_company,brand_owner,global_food_beverage_parent,Y,Y,Y,N,N,reviewed,official_parent_brand_page,SRC_BARILLA_GROUP_BRANDS,Barilla Group — Brands,https://www.barillagroup.com/en/brands/,2026-04-28,v0.3 parent/brand source harvested from Barilla Group — Brands; current-chain mapping remains founder-reviewable.,Official source harvesting pending. v0.9 reconciled source name 'Barilla SpA'.
P0020,Lactalis Group,Lactalis Group,private_company,brand_owner,global_food_beverage_parent,Y,Y,Y,N,N,reviewed,official_parent_brand_page,SRC_LACTALIS_AU_BRANDS,Lactalis Australia — Brands,https://lactalis.com.au/brand/,2026-04-28,v0.3 parent/brand source harvested from Lactalis Australia — Brands; current-chain mapping remains founder-reviewable.,Official source harvesting pending. v0.9 reconciled source name 'Groupe Lactalis'.
P0021,Arla Foods amba,Arla Foods amba,cooperative,brand_owner,global_food_beverage_parent,Y,Y,Y,N,N,reviewed,official_parent_brand_page,SRC_ARLA_BRANDS,Arla Foods — Brands,https://www.arla.com/brands/,2026-04-28,v0.3 parent/brand source harvested from Arla Foods — Brands; current-chain mapping remains founder-reviewable.,Official source harvesting pending. v0.9 reconciled source name 'Arla Foods Ltd.'.
P0022,Fonterra Co-operative Group Limited,Fonterra Co-operative Group Limited,cooperative,brand_owner,regional_food_beverage_parent,Y,Y,Y,N,N,reviewed,official_parent_brand_page,SRC_FONTERRA_AU_BRANDS,Fonterra Australia — Our Brands,https://www.fonterra.com/au/en/about-us/our-brands.html,2026-04-28,v0.3 parent/brand source harvested from Fonterra Australia — Our Brands; current-chain mapping remains founder-reviewable.,Official current brand source harvesting pending. v0.9 reconciled source name 'Fonterra'.
P0023,Bega Group Limited,Bega Group Limited,public_company,brand_owner,regional_food_beverage_parent,Y,N,N,N,N,reviewed,official_parent_brand_page,SRC_BEGA_GROUP_BRANDS,Bega Group — About/Brands,https://begagroup.com.au/,2026-04-28,v0.3 parent/brand source harvested from Bega Group — About/Brands; current-chain mapping remains founder-reviewable.,Official brand portfolio source harvesting pending.
P0024,The a2 Milk Company Limited,The a2 Milk Company Limited,public_company,brand_owner,regional_food_beverage_parent,Y,Y,N,N,N,reviewed,official_parent_brand_page,SRC_A2_MILK_BRANDS,The a2 Milk Company,https://thea2milkcompany.com/,2026-04-28,v0.3 parent/brand source harvested from The a2 Milk Company; current-chain mapping remains founder-reviewable.,Official brand source harvesting pending.
P0025,Sanitarium Health Food Company,Sanitarium Health Food Company,other,brand_owner,regional_food_beverage_parent,Y,Y,N,N,N,reviewed,official_brand_page,SRC_SANITARIUM_BRANDS,Sanitarium brand stewardship seed,https://www.sanitarium.com/au/,2026-04-28,v0.3 parent/brand source harvested from Sanitarium brand stewardship seed; current-chain mapping remains founder-reviewable.,Ownership/legal-form review may be sensitive; keep neutral.
P0026,Inghams Group Limited,Inghams Group Limited,public_company,manufacturer,regional_food_beverage_parent,Y,Y,N,N,N,reviewed,official_parent_brand_page,SRC_INGHAMS_BRANDS,Ingham's — Our Brands,https://inghams.com.au/,2026-04-28,v0.3 parent/brand source harvested from Ingham's — Our Brands; current-chain mapping remains founder-reviewable.,Official source harvesting pending.
P0027,JBS S.A.,JBS S.A.,public_company,manufacturer,global_food_beverage_parent,Y,N,Y,Y,N,reviewed,official_parent_brand_page,SRC_JBS_FOODS_BRANDS,JBS Foods — Our Brands,https://jbsfoodsgroup.com/our-brands,2026-04-28,v0.3 parent/brand source harvested from JBS Foods — Our Brands; current-chain mapping remains founder-reviewable.,Australian brand/entity review pending. v0.9 reconciled source name 'JBS SA'. v0.9 reconciled source name 'JBS S.A.'.
P0028,BRF S.A.,BRF S.A.,public_company,manufacturer,global_food_beverage_parent,N,N,N,N,N,reviewed,official_parent_brand_page,SRC_BRF_BRANDS,BRF — Our Brands,https://www.mbrf.com/en/our-brands/,2026-04-28,v0.3 parent/brand source harvested from BRF — Our Brands; current-chain mapping remains founder-reviewable.,May be later-wave only if no practical AU/NZ shelf relevance.
P0029,"Tyson Foods, Inc.","Tyson Foods, Inc.",public_company,manufacturer,global_food_beverage_parent,N,N,Y,Y,N,reviewed,official_parent_brand_page,SRC_TYSON_BRANDS,Tyson Foods — Our Brands,https://www.tysonfoods.com/our-brands,2026-04-28,v0.3 parent/brand source harvested from Tyson Foods — Our Brands; current-chain mapping remains founder-reviewable.,May be later-wave only if no practical AU/NZ shelf relevance. v0.9 reconciled source name 'Tyson Foods Inc'. v0.9 reconciled source name 'Tyson Foods Inc.'.
P0030,Maple Leaf Foods Inc.,Maple Leaf Foods Inc.,public_company,manufacturer,global_food_beverage_parent,N,N,Y,N,N,reviewed,official_parent_brand_page,SRC_MAPLE_LEAF_BRANDS,Maple Leaf Foods — Brands,https://www.mapleleaffoods.com/brands/,2026-04-28,v0.3 parent/brand source harvested from Maple Leaf Foods — Brands; current-chain mapping remains founder-reviewable.,Potentially low AU/NZ shelf relevance. v0.9 reconciled source name 'Maple Leaf Foods'.
P0031,Premier Foods plc,Premier Foods plc,public_company,brand_owner,global_food_beverage_parent,Y,Y,Y,N,Y,reviewed,official_parent_brand_page,SRC_PREMIER_FOODS_BRANDS,Premier Foods — Our Brands,https://www.premierfoods.co.uk/our-brands/,2026-04-28,v0.3 parent/brand source harvested from Premier Foods — Our Brands; current-chain mapping remains founder-reviewable.,Verify current The Spice Tailor chain. v0.9 reconciled source name 'Premier Foods PLC'.
P0032,Campbell's Company,Campbell's Company,public_company,brand_owner,global_food_beverage_parent,Y,Y,Y,Y,N,reviewed,official_brand_page,SRC_CAMPBELLS_ANZ_PRODUCTS,Campbell's ANZ — Products,https://www.campbellsanz.com/products,2026-04-28,v0.3 parent/brand source harvested from Campbell's ANZ — Products; current-chain mapping remains founder-reviewable.,Official AU/NZ source harvesting pending. v0.9 reconciled source name 'Campbell Soup Company'.
P0033,The Hershey Company,The Hershey Company,public_company,brand_owner,global_food_beverage_parent,Y,Y,Y,Y,N,reviewed,official_parent_brand_page,SRC_HERSHEY_BRANDS,The Hershey Company — Brands,https://www.thehersheycompany.com/en_us/home/brands.html,2026-04-28,v0.3 parent/brand source harvested from The Hershey Company — Brands; current-chain mapping remains founder-reviewable.,Official AU/NZ source harvesting pending. v0.9 reconciled source name 'Hershey Co.'. v0.9 reconciled source name 'The Hershey Company'.
P0034,"McCormick & Company, Inc.","McCormick & Company, Inc.",public_company,brand_owner,global_food_beverage_parent,Y,Y,N,Y,N,reviewed,official_parent_brand_page,SRC_MCCORMICK_CORP_BRANDS,McCormick Corporation — Brands,https://www.mccormickcorporation.com/brands,2026-04-28,v0.3 parent/brand source harvested from McCormick Corporation — Brands; current-chain mapping remains founder-reviewable.,Official source harvesting pending. v0.9 reconciled source name 'McCormick & Co Inc'.
P0035,"Grupo Bimbo, S.A.B. de C.V.","Grupo Bimbo, S.A.B. de C.V.",public_company,brand_owner,global_food_beverage_parent,Y,Y,Y,Y,N,reviewed,official_parent_brand_page,SRC_GRUPO_BIMBO_BRANDS,Grupo Bimbo — Brands,https://grupobimbo.com/en/brands,2026-04-28,v0.3 parent/brand source harvested from Grupo Bimbo — Brands; current-chain mapping remains founder-reviewable.,"Official source harvesting pending. v0.9 reconciled source name 'Bimbo'. v0.9 reconciled source name 'Grupo Bimbo, S.A.B. de C.V.'."
P0036,Keurig Dr Pepper Inc.,Keurig Dr Pepper Inc.,public_company,brand_owner,global_food_beverage_parent,Y,N,N,N,N,reviewed,official_parent_brand_page,SRC_KDP_BRANDS,Keurig Dr Pepper — Brands,https://www.keurigdrpepper.com/brands/,2026-04-28,v0.3 parent/brand source harvested from Keurig Dr Pepper — Brands; current-chain mapping remains founder-reviewable.,Founder approved KDP/JDE Peet's current-chain review in v0.5; JDE Peet's brand harvest remains a follow-up coverage task.
P0037,Suntory Holdings Limited,Suntory Holdings Limited,private_company,brand_owner,global_food_beverage_parent,Y,Y,N,N,N,reviewed,official_parent_brand_page,SRC_SUNTORY_OCEANIA_BRANDS,Suntory Oceania — Brands,https://www.suntoryoceania.com/brands/,2026-04-28,v0.3 parent/brand source harvested from Suntory Oceania — Brands; current-chain mapping remains founder-reviewable.,Official AU/NZ source harvesting pending.
P0038,"Asahi Group Holdings, Ltd.","Asahi Group Holdings, Ltd.",public_company,brand_owner,global_food_beverage_parent,Y,Y,N,N,N,reviewed,official_parent_brand_page,SRC_ASAHI_BEVERAGES_BRANDS,Asahi Beverages — About/Brands,https://www.asahibeverages.com/about-us,2026-04-28,v0.3 parent/brand source harvested from Asahi Beverages — About/Brands; current-chain mapping remains founder-reviewable.,Official source harvesting pending.
P0039,"Kirin Holdings Company, Limited","Kirin Holdings Company, Limited",public_company,brand_owner,global_food_beverage_parent,Y,Y,N,N,N,reviewed,manual_stewardship,SRC_KIRIN_BRANDS,Kirin non-alcohol shelf relevance seed,https://www.kirinholdings.com/en/,2026-04-28,v0.3 parent/brand source harvested from Kirin non-alcohol shelf relevance seed; current-chain mapping remains founder-reviewable.,Official source harvesting pending.
P0040,Goodman Fielder Pty Limited,Goodman Fielder Pty Limited,private_company,brand_owner,regional_food_beverage_parent,Y,Y,N,N,N,reviewed,official_parent_brand_page,SRC_GOODMAN_FIELDER_BRANDS,Goodman Fielder — Brands,https://goodmanfielder.com/brands/,2026-04-28,v0.3 parent/brand source harvested from Goodman Fielder — Brands; current-chain mapping remains founder-reviewable.,"Consider whether to chain to Wilmar/First Pacific or use operating parent. v0.10 founder decision: chain to Goodman Fielder as operating parent for MVP; Wilmar International treated as ultimate owner note only, not Operational_Entities."
P0041,Simplot Australia Pty Limited,Simplot Australia Pty Limited,private_company,brand_owner,regional_food_beverage_parent,Y,Y,N,N,N,reviewed,official_parent_brand_page,SRC_SIMPLOT_BRANDS,Simplot Australia — Brands,https://simplot.com.au/brands,2026-04-28,v0.3 parent/brand source harvested from Simplot Australia — Brands; current-chain mapping remains founder-reviewable.,Official source harvesting pending.
P0042,Patties Food Group Pty Limited,Patties Food Group Pty Limited,private_company,brand_owner,regional_food_beverage_parent,Y,N,N,N,N,reviewed,official_parent_brand_page,SRC_PATTIES_BRANDS,Patties Food Group — Brands,https://pattiesfoodgroup.com/brands,2026-04-28,v0.3 parent/brand source harvested from Patties Food Group — Brands; current-chain mapping remains founder-reviewable.,Official source harvesting pending.
P0043,The Arnott's Group,The Arnott's Group,private_company,brand_owner,regional_food_beverage_parent,Y,Y,N,N,N,reviewed,official_brand_page,SRC_ARNOTTS_BRANDS,Arnott's — Our Brands,https://www.arnotts.com/,2026-04-28,v0.3 parent/brand source harvested from Arnott's — Our Brands; current-chain mapping remains founder-reviewable.,Official source harvesting pending.
P0044,Dr. August Oetker KG,Dr. August Oetker KG,private_company,brand_owner,global_food_beverage_parent,Y,Y,N,N,N,reviewed,official_brand_page,SRC_OETKER_AU_BRANDS,Dr. Oetker Australia,https://www.oetker.com.au/,2026-04-28,v0.3 parent/brand source harvested from Dr. Oetker Australia; current-chain mapping remains founder-reviewable.,Official source harvesting pending.
P0045,McCain Foods Limited,McCain Foods Limited,private_company,brand_owner,global_food_beverage_parent,Y,Y,N,N,N,reviewed,official_brand_page,SRC_MCCAIN_AU_BRANDS,McCain Australia,https://mccain.com.au/,2026-04-28,v0.3 parent/brand source harvested from McCain Australia; current-chain mapping remains founder-reviewable.,Official source harvesting pending.
P0046,Saputo Inc.,Saputo Inc.,public_company,brand_owner,global_food_beverage_parent,Y,Y,Y,Y,N,reviewed,official_parent_brand_page,SRC_SAPUTO_AU_BRANDS,Saputo Dairy Australia — Consumer Brands,https://www.saputodairyaustralia.com.au/en/our-products/consumer-brands,2026-04-28,v0.3 parent/brand source harvested from Saputo Dairy Australia — Consumer Brands; current-chain mapping remains founder-reviewable.,Official source harvesting pending. v0.9 reconciled source name 'Saputo Inc'. v0.9 reconciled source name 'Saputo Inc.'.
P0047,Wilmar International Limited,Wilmar International Limited,public_company,mixed,global_food_beverage_parent,Y,Y,N,Y,N,reviewed,official_parent_brand_page,SRC_WILMAR_SUGAR_BRANDS,Wilmar Sugar ANZ — Consumer Products,https://www.wilmarsugar-anz.com/what-we-do/consumer-products,2026-04-28,v0.3 parent/brand source harvested from Wilmar Sugar ANZ — Consumer Products; current-chain mapping remains founder-reviewable.,Current operating-chain decisions pending. v0.9 reconciled source name 'Wilmar International Limited'.
P0048,Marks & Spencer plc,Marks & Spencer plc,public_company,retailer,supermarket_retailer_parent,N,N,Y,N,N,reviewed,retailer_own_brand_page,SRC_M_AND_S_FOOD,M&S Food,https://www.marksandspencer.com/food,2026-04-28,v0.3 parent/brand source harvested from M&S Food; current-chain mapping remains founder-reviewable.,May remain seed-only unless imported products encountered. v0.9 reconciled source name 'Marks & Spencer PLC'.
P0049,Waitrose,Waitrose,private_company,retailer,supermarket_retailer_parent,N,N,Y,N,N,reviewed,retailer_own_brand_page,SRC_WAITROSE_DUCHY,Waitrose Duchy Organic,https://www.waitrose.com/ecom/shop/browse/groceries/organic_shop/duchy_organic,2026-04-28,v0.3 parent/brand source harvested from Waitrose Duchy Organic; current-chain mapping remains founder-reviewable.,May remain seed-only unless imported products encountered. v0.9 reconciled source name 'Waitrose'.
P0050,Tesco PLC,Tesco PLC,public_company,retailer,supermarket_retailer_parent,N,N,Y,Y,N,reviewed,retailer_own_brand_page,SRC_TESCO_OWN_LABEL,Tesco own-label product ranges,https://www.tesco.com/shop/en-GB/zone/tesco-finest,2026-04-28,v0.3 parent/brand source harvested from Tesco own-label product ranges; current-chain mapping remains founder-reviewable.,May remain seed-only unless imported products encountered. v0.9 reconciled source name 'Tesco PLC'.
P0051,J Sainsbury plc,J Sainsbury plc,public_company,retailer,supermarket_retailer_parent,N,N,Y,N,N,reviewed,retailer_own_brand_page,SRC_SAINSBURYS_OWN_LABEL,Sainsbury's own-label stewardship seed,https://www.sainsburys.co.uk/,2026-04-28,v0.3 parent/brand source harvested from Sainsbury's own-label stewardship seed; current-chain mapping remains founder-reviewable.,May remain seed-only unless imported products encountered. v0.9 reconciled source name 'J Sainsbury PLC'.
P0052,Ahold Delhaize,Ahold Delhaize,public_company,retailer,supermarket_retailer_parent,N,N,Y,Y,N,reviewed,official_parent_brand_page,SRC_AHOLD_DELHAIZE_BRANDS,Ahold Delhaize — Brands,https://www.aholddelhaize.com/brands/,2026-04-28,v0.3 parent/brand source harvested from Ahold Delhaize — Brands; current-chain mapping remains founder-reviewable.,May remain seed-only unless imported products encountered. v0.9 reconciled source name 'Ahold Delhaize'. v0.9 reconciled source name 'Koninklijke Ahold Delhaize NV'.
P0053,Walmart Inc.,Walmart Inc.,public_company,retailer,supermarket_retailer_parent,N,N,Y,Y,N,reviewed,retailer_own_brand_page,SRC_WALMART_PRIVATE_BRANDS,Walmart private brands stewardship seed,https://www.walmart.com/cp/food/976759,2026-04-28,v0.3 parent/brand source harvested from Walmart private brands stewardship seed; current-chain mapping remains founder-reviewable.,May remain seed-only unless imported products encountered. v0.9 reconciled source name 'Walmart Inc'. v0.9 reconciled source name 'Walmart Inc.'.
P0054,Carrefour S.A.,Carrefour S.A.,public_company,retailer,supermarket_retailer_parent,N,N,Y,Y,N,reviewed,retailer_own_brand_page,SRC_CARREFOUR_BRANDS,Carrefour private-label stewardship seed,https://www.carrefour.com/en/group/food-transition,2026-04-28,v0.3 parent/brand source harvested from Carrefour private-label stewardship seed; current-chain mapping remains founder-reviewable.,May remain seed-only unless imported products encountered. v0.9 reconciled source name 'Carrefour SA.'. v0.9 reconciled source name 'Carrefour SA'.
P0055,Jalna Dairy Foods Pty Ltd,Jalna Dairy Foods Pty Ltd,private_company,brand_owner,regional_food_beverage_parent,Y,N,N,N,Y,reviewed,official_brand_page,SRC_JALNA_SOURCE,Jalna Dairy Foods,https://jalna.com.au/,2026-04-28,v0.3 parent/brand source harvested from Jalna Dairy Foods; current-chain mapping remains founder-reviewable.,Review current ownership/source.
P0056,"Chobani, LLC","Chobani, LLC",private_company,brand_owner,global_food_beverage_parent,Y,N,N,N,Y,reviewed,official_brand_page,SRC_CHOBANI_SOURCE,Chobani Australia,https://www.chobani.com.au/,2026-04-28,v0.3 parent/brand source harvested from Chobani Australia; current-chain mapping remains founder-reviewable.,Review AU operating entity/source.
P0057,Maggie Beer Holdings Limited,Maggie Beer Holdings Limited,public_company,brand_owner,regional_food_beverage_parent,Y,N,N,N,N,reviewed,official_parent_brand_page,SRC_MAGGIE_BEER_HOLDINGS_BRAND,Maggie Beer Holdings — Maggie Beer brand,https://www.maggiebeerholdings.com.au/our-brands/maggie-beer/,2026-04-28,Coles catalogue audit surfaced Maggie Beer; official source confirms Maggie Beer Holdings has 100% equity stake in Maggie Beer.,Promoted from v0.6 Parent Extension Candidate for v0.7 founder review.
P0058,Conga Foods Pty Ltd,Conga Foods Pty Ltd,private_company,brand_owner,regional_food_beverage_parent,Y,N,N,N,N,reviewed,official_brand_page,SRC_VAL_VERDE_CONGA,Val Verde — Privacy & Disclaimer,https://www.discovervalverde.com.au/privacy-disclaimer/,2026-04-28,Coles catalogue audit surfaced Val Verde; source states Conga Foods is brand owner of Val Verde.,Promoted from v0.6 Parent Extension Candidate for v0.7 founder review.
P0059,Ebro Foods S.A.,Ebro Foods S.A.,public_company,brand_owner,global_food_beverage_parent,Y,Y,N,N,N,reviewed,official_parent_brand_page,SRC_EBRO_TILDA,Ebro Foods — Tilda acquisition announcement,https://www.ebrofoods.es/en/news/ebro-foods-buys-the-premium-rice-brand-tilda/,2026-04-28,Coles catalogue audit surfaced Tilda; Ebro Foods announced purchase of Tilda.,Promoted from v0.6 Parent Extension Candidate for v0.7 founder review.
P0060,SPC Global Limited,SPC Global Limited,public_company,brand_owner,regional_food_beverage_parent,Y,N,N,N,N,reviewed,official_parent_brand_page,SRC_SPC_GLOBAL,SPC Global / SPC Australia,https://spcglobalgroup.com/,2026-04-28,Coles canned-meal audit surfaced SPC; SPC Global official source identifies SPC Global as an Australian food and beverage group with SPC within the group.,Promoted from PEC0006 by founder broad sign-off in v0.8.
