alias_id,alias_text,alias_normalized,alias_type,alias_source_type,brand_id,canonical_brand_name,parent_id,parent_display_name,review_state,source_id,source_reference,notes_internal
A0068,Cottees,cottees,common_shorthand,manual_stewardship,B0438,Cottee's,P0038,"Asahi Group Holdings, Ltd.",reviewed,SRC_ASAHI_BEVERAGES_BRANDS,SRC_ASAHI_BEVERAGES_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0069,Helgas,helgas,common_shorthand,manual_stewardship,B0171,Helga's,P0040,Goodman Fielder Pty Limited,reviewed,SRC_GOODMAN_FIELDER_BRANDS,SRC_GOODMAN_FIELDER_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0070,Meadow Lea,meadow lea,common_shorthand,manual_stewardship,B0172,MeadowLea,P0040,Goodman Fielder Pty Limited,reviewed,SRC_GOODMAN_FIELDER_BRANDS,SRC_GOODMAN_FIELDER_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0071,Vogels,vogels,common_shorthand,manual_stewardship,B0175,Vogel's,P0040,Goodman Fielder Pty Limited,reviewed,SRC_GOODMAN_FIELDER_BRANDS,SRC_GOODMAN_FIELDER_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0072,Leggos,leggos,common_shorthand,manual_stewardship,B0179,Leggo's,P0041,Simplot Australia Pty Limited,reviewed,SRC_SIMPLOT_BRANDS,SRC_SIMPLOT_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0073,I and J,i and j,common_shorthand,manual_stewardship,B0462,I&J,P0041,Simplot Australia Pty Limited,reviewed,SRC_SIMPLOT_BRANDS,SRC_SIMPLOT_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0074,Four and Twenty,four and twenty,common_shorthand,manual_stewardship,B0181,Four'N Twenty,P0042,Patties Food Group Pty Limited,reviewed,SRC_PATTIES_BRANDS,SRC_PATTIES_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0075,4'N Twenty,4 n twenty,common_shorthand,manual_stewardship,B0181,Four'N Twenty,P0042,Patties Food Group Pty Limited,reviewed,SRC_PATTIES_BRANDS,SRC_PATTIES_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0076,Nannas,nannas,common_shorthand,manual_stewardship,B0184,Nanna's,P0042,Patties Food Group Pty Limited,reviewed,SRC_PATTIES_BRANDS,SRC_PATTIES_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0077,Arnotts,arnotts,common_shorthand,manual_stewardship,B0185,Arnott's,P0043,The Arnott's Group,reviewed,SRC_ARNOTTS_BRANDS,SRC_ARNOTTS_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0078,Campbells Real Stock,campbells real stock,common_shorthand,manual_stewardship,B0189,Campbell's Real Stock,P0043,The Arnott's Group,reviewed,SRC_ARNOTTS_BRANDS,SRC_ARNOTTS_BRANDS,Brand-level alias added in v0.3; parent-level aliases removed.
A0079,M and S Food,m and s food,packaging_variation,manual_stewardship,B0501,M&S Food,P0048,Marks & Spencer plc,reviewed,SRC_M_AND_S_FOOD,SRC_M_AND_S_FOOD,Brand-level alias added in v0.3; parent-level aliases removed.
A0080,Marks and Spencer Food,marks and spencer food,packaging_variation,manual_stewardship,B0501,M&S Food,P0048,Marks & Spencer plc,reviewed,SRC_M_AND_S_FOOD,SRC_M_AND_S_FOOD,Brand-level alias added in v0.3; parent-level aliases removed.
A0081,Stockwell and Co,stockwell and co,common_shorthand,manual_stewardship,B0513,Stockwell & Co.,P0050,Tesco PLC,reviewed,SRC_TESCO_OWN_LABEL,SRC_TESCO_OWN_LABEL,Brand-level alias added in v0.3; parent-level aliases removed.
A0082,By Sainsburys,by sainsburys,common_shorthand,manual_stewardship,B0519,by Sainsbury's,P0051,J Sainsbury plc,reviewed,SRC_SAINSBURYS_OWN_LABEL,SRC_SAINSBURYS_OWN_LABEL,Brand-level alias added in v0.3; parent-level aliases removed.
A0083,Captain's Table,captain s table,packaging_variation,packaging_observation,B0538,Captain's Table,P0009,"Mondelez International, Inc.",reviewed,SRC_CAPTAINS_TABLE_MONDELEZ_PRODUCT_SPEC,https://www.mocofoodservices.com.au/globalassets/related-items-import/30701-psr---125g-captains-table-classic-water-crackers.pdf,Canonical/display form supported by product-level evidence.
A0084,Captain’s Table,captains table,punctuation_variation,retailer_product_page,B0538,Captain's Table,P0009,"Mondelez International, Inc.",reviewed,SRC_CAPTAINS_TABLE_WOOLWORTHS_PRODUCT_PAGE,https://www.woolworths.com.au/shop/productdetails/140784/captain-s-table-classic-water-crackers,Curly apostrophe variant used in retailer/product copy.
A0085,Capt Table,capt table,short_form,retailer_product_page,B0538,Captain's Table,P0009,"Mondelez International, Inc.",reviewed,SRC_CAPTAINS_TABLE_IGA_PRODUCT_PAGE,https://iganathalia.com.au/lines/nab-capt-table-classic-125gm,Retailer shorthand in IGA line slug/title: nab-capt-table-classic.
A0086,Nabisco Captain's Table,nabisco captain s table,packaging_variation,packaging_observation,B0538,Captain's Table,P0009,"Mondelez International, Inc.",reviewed,SRC_CAPTAINS_TABLE_MONDELEZ_PRODUCT_SPEC,https://www.mocofoodservices.com.au/globalassets/related-items-import/30701-psr---125g-captains-table-classic-water-crackers.pdf,Supplier/specification title uses NABISCO CAPTAIN'S TABLE.
A0087,Nabisco Captains Table,nabisco captains table,retailer_listing_variation,retailer_product_page,B0538,Captain's Table,P0009,"Mondelez International, Inc.",reviewed,SRC_CAPTAINS_TABLE_FOODWORKS_PRODUCT_PAGE,https://lorne-shop.foodworks.com.au/lines/nab-capt-table-classic-125gm,Retailer title uses Nabisco/Captains Table style.
A0088,Nab Capt Table,nab capt table,retailer_listing_variation,retailer_product_page,B0538,Captain's Table,P0009,"Mondelez International, Inc.",reviewed,SRC_CAPTAINS_TABLE_IGA_PRODUCT_PAGE,https://iganathalia.com.au/lines/nab-capt-table-classic-125gm,IGA shorthand observed in listing slug/title.
A0089,Captain's Table Water Crackers,captain s table water crackers,packaging_variation,retailer_product_page,B0538,Captain's Table,P0009,"Mondelez International, Inc.",reviewed,SRC_CAPTAINS_TABLE_WOOLWORTHS_PRODUCT_PAGE,https://www.woolworths.com.au/shop/productdetails/140784/captain-s-table-classic-water-crackers,Retailer product title includes brand + product family; useful candidate for title matching.
A0090,Nabisco,nabisco,legacy_brand_name,packaging_observation,B0539,Nabisco,P0009,"Mondelez International, Inc.",provisional,,https://www.mocofoodservices.com.au/globalassets/related-items-import/30701-psr---125g-captains-table-classic-water-crackers.pdf,Legacy/master brand element on product-level evidence.
A0091,NAB,nab,short_form,retailer_product_page,B0539,Nabisco,P0009,"Mondelez International, Inc.",provisional,,https://iganathalia.com.au/lines/nab-capt-table-classic-125gm,Retailer shorthand appears in IGA/Foodworks slugs as NAB.
A0092,Maggie Beer Products,maggiebeerproducts,packaging_variation,official_parent_brand_page,B0559,Maggie Beer,P0057,Maggie Beer Holdings Limited,reviewed,SRC_MAGGIE_BEER_HOLDINGS_BRAND,SRC_MAGGIE_BEER_HOLDINGS_BRAND,Source describes Maggie Beer Products; useful packaging/title variant.
A0093,Maggie Beer,maggiebeer,off_observed_alias,retailer_product_page,B0559,Maggie Beer,P0057,Maggie Beer Holdings Limited,reviewed,SRC_COLES_SNACKS,SRC_COLES_SNACKS,Retain common product-title form.
A0094,Arnott's Savoy,arnottssavoy,packaging_variation,official_brand_page,B0560,Savoy,P0043,The Arnott's Group,reviewed,SRC_ARNOTTS_SAVOY,SRC_ARNOTTS_SAVOY,Captures manufacturer-prefixed retailer/product title.
A0095,SAVOY,savoy,casing_variation,retailer_product_page,B0560,Savoy,P0043,The Arnott's Group,reviewed,SRC_ARNOTTS_SAVOY,SRC_ARNOTTS_SAVOY,Casing-only alias retained because legacy product data may use uppercase.
A0096,Gippsland,gippsland,common_shorthand,retailer_product_page,B0561,Gippsland Dairy,P0056,"Chobani, LLC",reviewed,SRC_CHOBANI_GIPPSLAND_DAIRY,SRC_CHOBANI_GIPPSLAND_DAIRY,Common shorthand seen in consumer and product references.
A0097,Gippsland Dairy Yogurt,gippslanddairyyogurt,packaging_variation,official_brand_page,B0561,Gippsland Dairy,P0056,"Chobani, LLC",reviewed,SRC_CHOBANI_GIPPSLAND_DAIRY,SRC_CHOBANI_GIPPSLAND_DAIRY,Captures product-title spelling variation.
A0098,Valverde,valverde,spelling_variation,retailer_product_page,B0562,Val Verde,P0058,Conga Foods Pty Ltd,reviewed,SRC_VAL_VERDE_CONGA,SRC_VAL_VERDE_CONGA,No-space variant likely in messy product strings.
A0099,Val Verde Tomatoes,valverdetomatoes,packaging_variation,official_brand_page,B0562,Val Verde,P0058,Conga Foods Pty Ltd,reviewed,SRC_VAL_VERDE_CONGA,SRC_VAL_VERDE_CONGA,Captures product-title family variation.
A0100,Tilda Rice,tildarice,packaging_variation,retailer_product_page,B0563,Tilda,P0059,Ebro Foods S.A.,reviewed,SRC_EBRO_TILDA,SRC_EBRO_TILDA,Captures rice category product-title form.
A0101,Tilda Basmati,tildabasmati,packaging_variation,retailer_product_page,B0563,Tilda,P0059,Ebro Foods S.A.,reviewed,SRC_EBRO_TILDA,SRC_EBRO_TILDA,Captures common rice product-title form.
A0102,SPC Australia,spcaustralia,common_shorthand,retailer_product_page,B0564,SPC,P0060,SPC Global Limited,reviewed,SRC_SPC_GLOBAL,SRC_SPC_GLOBAL,Common AU brand/company title; useful for retailer and OFF string matching.
A0103,SPC Spaghetti,spcspaghetti,packaging_variation,retailer_product_page,B0564,SPC,P0060,SPC Global Limited,reviewed,SRC_COLES_CANNED_MEALS,SRC_COLES_CANNED_MEALS,Coles audit surfaced SPC spaghetti; captures ready-meal product-title variation.
A0104,Indomie Mi Goreng,indomiemigoreng,packaging_variation,retailer_product_page,B0565,Indomie,P0061,PT Indofood Sukses Makmur Tbk,reviewed,SRC_INDOMIE_AU,SRC_INDOMIE_AU,Common product-title/packaging form for AU/NZ noodle scans.
A0105,Indomie Noodles,indomienoodles,packaging_variation,retailer_product_page,B0565,Indomie,P0061,PT Indofood Sukses Makmur Tbk,reviewed,SRC_INDOMIE_AU,SRC_INDOMIE_AU,Captures retailer category title variation.
A0106,Fantastic Noodles,fantasticnoodles,packaging_variation,retailer_product_page,B0566,Fantastic,P0062,San Remo Macaroni Company Pty Ltd,reviewed,SRC_FANTASTIC_SNACKS,SRC_FANTASTIC_SNACKS,Captures Fantastic noodle product-title variants.
