control_row_id,parent_id,canonical_parent_name,parent_cohort_category,au_shelf_priority_y_n,nz_shelf_priority_y_n,bbfaw_seed_asset_member_y_n,ktc_seed_asset_member_y_n,core_uat_asset_member_y_n,official_parent_brand_source_harvested_y_n,source_status,brand_population_status,alias_population_status,gtin_link_status,review_state,gap_status,next_population_action,notes_internal
CTRL0011,P0011,The Coca-Cola Company,global_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0012,P0012,Danone S.A.,global_food_beverage_parent,Y,Y,Y,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0013,P0013,Unilever PLC,global_food_beverage_parent,Y,Y,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0014,P0014,The Magnum Ice Cream Company N.V.,global_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0015,P0015,"General Mills, Inc.",global_food_beverage_parent,Y,Y,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0016,P0016,The Kraft Heinz Company,global_food_beverage_parent,Y,Y,Y,Y,Y,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0017,P0017,Ferrero Group,global_food_beverage_parent,Y,Y,Y,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0018,P0018,Associated British Foods plc,global_food_beverage_parent,Y,Y,N,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0019,P0019,Barilla G. e R. Fratelli S.p.A.,global_food_beverage_parent,Y,Y,Y,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0020,P0020,Lactalis Group,global_food_beverage_parent,Y,Y,Y,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0021,P0021,Arla Foods amba,global_food_beverage_parent,Y,Y,Y,N,N,Y,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0022,P0022,Fonterra Co-operative Group Limited,regional_food_beverage_parent,Y,Y,Y,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0023,P0023,Bega Group Limited,regional_food_beverage_parent,Y,N,N,N,N,Y,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0024,P0024,The a2 Milk Company Limited,regional_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0025,P0025,Sanitarium Health Food Company,regional_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0026,P0026,Inghams Group Limited,regional_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0027,P0027,JBS S.A.,global_food_beverage_parent,Y,N,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0028,P0028,BRF S.A.,global_food_beverage_parent,N,N,N,N,N,Y,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0029,P0029,"Tyson Foods, Inc.",global_food_beverage_parent,N,N,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0030,P0030,Maple Leaf Foods Inc.,global_food_beverage_parent,N,N,Y,N,N,Y,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0031,P0031,Premier Foods plc,global_food_beverage_parent,Y,Y,Y,N,Y,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0032,P0032,Campbell's Company,global_food_beverage_parent,Y,Y,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0033,P0033,The Hershey Company,global_food_beverage_parent,Y,Y,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0034,P0034,"McCormick & Company, Inc.",global_food_beverage_parent,Y,Y,N,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0035,P0035,"Grupo Bimbo, S.A.B. de C.V.",global_food_beverage_parent,Y,Y,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0036,P0036,Keurig Dr Pepper Inc.,global_food_beverage_parent,Y,N,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0037,P0037,Suntory Holdings Limited,global_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0038,P0038,"Asahi Group Holdings, Ltd.",global_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0039,P0039,"Kirin Holdings Company, Limited",global_food_beverage_parent,Y,Y,N,N,N,N,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0040,P0040,Goodman Fielder Pty Limited,regional_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0041,P0041,Simplot Australia Pty Limited,regional_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0042,P0042,Patties Food Group Pty Limited,regional_food_beverage_parent,Y,N,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0043,P0043,The Arnott's Group,regional_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0044,P0044,Dr. August Oetker KG,global_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0045,P0045,McCain Foods Limited,global_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0046,P0046,Saputo Inc.,global_food_beverage_parent,Y,Y,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0047,P0047,Wilmar International Limited,global_food_beverage_parent,Y,Y,N,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0048,P0048,Marks & Spencer plc,supermarket_retailer_parent,N,N,Y,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0049,P0049,Waitrose,supermarket_retailer_parent,N,N,Y,N,N,Y,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0050,P0050,Tesco PLC,supermarket_retailer_parent,N,N,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0051,P0051,J Sainsbury plc,supermarket_retailer_parent,N,N,Y,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0052,P0052,Ahold Delhaize,supermarket_retailer_parent,N,N,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0053,P0053,Walmart Inc.,supermarket_retailer_parent,N,N,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0054,P0054,Carrefour S.A.,supermarket_retailer_parent,N,N,Y,Y,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0055,P0055,Jalna Dairy Foods Pty Ltd,regional_food_beverage_parent,Y,N,N,N,Y,Y,source_fields_present,brand_rows_present,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0056,P0056,"Chobani, LLC",global_food_beverage_parent,Y,N,N,N,Y,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0057,P0057,Maggie Beer Holdings Limited,regional_food_beverage_parent,Y,N,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0058,P0058,Conga Foods Pty Ltd,regional_food_beverage_parent,Y,N,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0059,P0059,Ebro Foods S.A.,global_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0060,P0060,SPC Global Limited,regional_food_beverage_parent,Y,N,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0061,P0061,PT Indofood Sukses Makmur Tbk,global_food_beverage_parent,Y,Y,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0062,P0062,San Remo Macaroni Company Pty Ltd,regional_food_beverage_parent,Y,N,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0063,P0063,My Muscle Chef Pty Ltd,regional_food_beverage_parent,Y,N,N,N,N,Y,source_fields_present,brand_rows_present,alias_rows_present,reserved_post_mvp_not_coverage_strategy,reviewed,none,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0064,P0064,Danish Crown AmbA,global_food_beverage_parent,N,N,Y,N,N,N,source_fields_present,parent_only_seeded,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,brand_mapping_review_needed,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
CTRL0065,P0065,Migros-Genossenschafts-Bund,supermarket_retailer_parent,N,N,Y,N,N,N,source_fields_present,parent_only_seeded,alias_gap_or_not_started,reserved_post_mvp_not_coverage_strategy,reviewed,brand_mapping_review_needed,founder signed-off in v0.10; no further expansion before scaffold validation unless fatal flaw,AU/NZ shelf priority columns are review/prioritisation metadata only; they do not drive app behaviour. v0.10 founder sign-off: seeded chaining accepted subject to explicit candidate/gap queues.
