brand_id,parent_brand_id,review_state,confidence_state,lineage_reference,notes
B0472,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0473,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0188,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0481,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0475,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0474,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0560,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0478,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0479,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0476,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0480,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0477,B0185,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0727,B0726,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0728,B0726,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0729,B0726,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0730,B0726,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0747,B0564,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0763,B0001,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0764,B0001,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0765,B0001,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0766,B0024,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0767,B0024,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0768,B0024,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0025,B0024,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0204,B0024,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0205,B0024,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0769,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0770,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0771,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0772,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0773,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0774,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0775,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0776,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0777,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0778,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0779,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0780,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0781,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0782,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0783,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0784,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0785,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
B0201,B0200,reviewed,strong,chaining-refresh-20260816,Authorised Component 2 brand_child_of_brand edge.
