signal_id,dedupe_key,signal_class,market_key,source_channel_id,source_record_id,source_published_at,source_url,source_title,reveal_domain,signal_headline,signal_summary,scope_qualification,subject_response,subject_response_status,subject_response_source_url,confidence_state,review_state,signal_publication_state,editorial_review_required,editorial_review_state,detected_at,reviewed_at,last_material_update_at,publishable_from,expires_at,supersedes_signal_id,lineage_reference,rationale_summary,evidence_policy_version
SIG-IN-NZ-001-20260918,NZ-CONSUMERNZ-KERI-JUICE-SHRINKFLATION-20260211,in_the_news,AU+NZ,SRC-CONSUMER-NZ,CONSUMERNZ-KERI-JUICE-20260211,2026-02-11,https://www.consumer.org.nz/shopping/supermarkets/7-supermarket-products-that-have-shrunk-in-size-or-quality,7 supermarket products that have shrunk in size or quality,shrinkflation,Keri fruit juice pack shrank by 20%,Consumer NZ documented a reduction in Keri fruit juice from 3 litres to 2.4 litres.,Consumer NZ reported that the Keri juice range reduced from 3 litres to 2.4 litres. This Signal is Keri brand-level transparency context across AU and NZ; it does not mean the scanned Keri product itself changed size.,The manufacturer response in the source must remain linked to the signal.,pending_review,,strong,reviewed,publishable,TRUE,approved,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2026-12-31,SIG-IN-NZ-001,WEB:CONSUMERNZ-KERI-20260211,Consumer NZ documented a material Keri range pack-size reduction. Founder-approved MVP targeting treats this as Keri brand-level transparency context across AU/NZ scans.,RVEEL-SIGNALS-MVP-2026-09-v0.4
SIG-IN-NZ-002-20260918,NZ-CONSUMERNZ-ANCHOR-MILKPOWDER-MISLEADING-PORTIONS-20260211,in_the_news,AU+NZ,SRC-CONSUMER-NZ,CONSUMERNZ-ANCHOR-BLUE-20260211,2026-02-11,https://www.consumer.org.nz/shopping/supermarkets/7-supermarket-products-that-have-shrunk-in-size-or-quality,7 supermarket products that have shrunk in size or quality,misleading_portions,Anchor Blue directions made less prepared milk,Consumer NZ reported that changed mixing directions meant the same 400g packet made about 14% less prepared milk.,Consumer NZ reporting concerned changed preparation directions on Anchor Blue Milk Powder 400g in New Zealand. This Signal may appear on matching Anchor Blue Milk Powder scans in AU or NZ; it does not state that the scanned pack carries the changed directions or that powder weight or formulation changed.,"Fonterra said the formulation, powder weight and recommended retail price had not changed and the directions were updated to align with comparable products.",captured_from_source,https://www.consumer.org.nz/shopping/supermarkets/7-supermarket-products-that-have-shrunk-in-size-or-quality,strong,reviewed,publishable,TRUE,approved,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2026-12-31,SIG-IN-NZ-002,WEB:CONSUMERNZ-ANCHOR-BLUE-20260211,Consumer NZ named Anchor Blue Milk Powder and a preparation-direction change. Founder-approved MVP targeting is a bounded product/product-line scope across AU/NZ scans.,RVEEL-SIGNALS-MVP-2026-09-v0.4
SIG-IN-NZ-003-20260918,NZ-RNZ-PAMS-SPARKLING-WATER-HSR-20260323,in_the_news,AU+NZ,SRC-RNZ-NEWS,RNZ-590339,2026-03-23,https://www.rnz.co.nz/news/business/590339/4-point-5-or-two-star-water-health-labels-confuse,4.5 or two-star water? Health labels confuse,misleading_health_claims,Pams sparkling-water rating was out of date,RNZ reported that Foodstuffs acknowledged a Pams sparkling-water label carried an outdated two-star Health Star Rating and said it would correct the packaging.,RNZ reported that a Pams sparkling-water label version carried an outdated two-star Health Star Rating and that Foodstuffs would correct the packaging. This Signal may appear on matching Pams sparkling-water scans in AU or NZ; it does not mean the scanned pack still carries the outdated label.,Foodstuffs acknowledged the label was out of date and said it would correct it.,captured_from_source,https://www.rnz.co.nz/news/business/590339/4-point-5-or-two-star-water-health-labels-confuse,strong,reviewed,publishable,TRUE,approved,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2026-12-31,SIG-IN-NZ-003,WEB:RNZ-590339,RNZ named Pams sparkling water and an acknowledged on-pack HSR issue. Founder-approved MVP targeting is a bounded product/product-line scope across AU/NZ scans.,RVEEL-SIGNALS-MVP-2026-09-v0.4
SIG-IN-GL-002-20260918,GL-GW-LIBERIA-COCOA-DEFORESTATION-20251125,in_the_news,AU+NZ,SRC-GLOBAL-WITNESS,GW-LIBERIA-COCOA-20251125,2025-11-25,https://globalwitness.org/en/campaigns/forests/chocolate-giants-fuel-deforestation-in-west-africas-last-rainforest/,Chocolate giants fuel deforestation in West Africa's last rainforest,environmental_harm,Chocolate companies linked to high-risk Liberian cocoa,Global Witness linked major chocolate companies and brands to cocoa supply chains at high risk of exposure to recent Liberian deforestation.,"Company-level cocoa/chocolate supply-chain context only. Display requires positive cocoa/chocolate product-scope evidence. The source does not establish that an individual scanned packet contained Liberian cocoa or cocoa from a deforested farm. Where ownership changed after publication, preserve the source's publication-time company attribution rather than attributing the historical finding to a later owner.",The source records responses from the named companies; those responses must remain attached to the signal lineage.,pending_review,,strong,reviewed,publishable,TRUE,approved,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2026-12-31,SIG-IN-GL-002,WEB:GW-LIBERIA-COCOA-20251125,"Evidence-led fieldwork, satellite analysis and trade mapping named familiar AU/NZ chocolate brands and a material environmental risk.",RVEEL-SIGNALS-MVP-2026-09-v0.4
SIG-IN-NZ-004-20260918,NZ-NZH-ANCHOR-BUTTER-GRASSFED-SETTLEMENT-20260331,in_the_news,AU+NZ,SRC-NZ-HERALD,NZH-ANCHOR-GRASSFED-20260331,2026-03-31,https://www.nzherald.co.nz/the-country/news/fonterra-and-greenpeace-settle-over-misleading-100-new-zealand-grass-fed-claims-on-anchor-butter/SD7ZDN7WLNCVVBWHCK73C3DD74/,Fonterra and Greenpeace settle over misleading '100% New Zealand grass-fed' claims on Anchor butter,greenwashing,Fonterra accepts combined Anchor claim could mislead,NZ Herald reported an agreed settlement in which Fonterra accepted that the combined '100% New Zealand' and 'grass-fed' wording was likely to mislead some New Zealand consumers.,The reporting concerned historical combined '100% New Zealand' and 'grass-fed' wording on Anchor butter. This Signal may appear on Anchor butter scans in AU or NZ; it does not state that the scanned pack still carries that wording or that 'grass-fed' alone was admitted to be misleading.,Fonterra made no admission that the term 'grass-fed' in isolation was misleading.,captured_from_source,https://www.nzherald.co.nz/the-country/news/fonterra-and-greenpeace-settle-over-misleading-100-new-zealand-grass-fed-claims-on-anchor-butter/SD7ZDN7WLNCVVBWHCK73C3DD74/,strong,reviewed,publishable,TRUE,approved,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2026-12-31,SIG-IN-NZ-004,WEB:NZH-ANCHOR-GRASSFED-20260331,The reported settlement concerned Anchor butter labelling. Founder-approved MVP targeting is a bounded Anchor butter product/product-line scope across AU/NZ scans.,RVEEL-SIGNALS-MVP-2026-09-v0.4
SIG-IN-NZ-005-20260918,NZ-NZH-TALLEYS-SAFETY-JUDGMENT-20251217,in_the_news,AU+NZ,SRC-NZ-HERALD,NZH-TALLEYS-JUDGMENT-20251217,2025-12-17,https://www.nzherald.co.nz/business/companies/media-marketing/tvnz-wins-high-court-defamation-battle-over-talleys-safety-reporting/UKQ5QTBGTVGRPN6GGG6VRUAKCY/,TVNZ wins High Court defamation battle over Talley's safety reporting,labour_rights,High Court dismisses Talley's case over safety reporting,NZ Herald reported that the High Court dismissed Talley's defamation proceedings concerning reporting on workplace safety and injury management.,"The court outcome concerned Talley's workplace-safety reporting in New Zealand. This company-level Signal may appear on governed Talley's descendants in AU or NZ; it does not imply every site, brand, product or Australian operation was directly involved in the underlying allegations.",Talley's disputed the reporting and brought the proceedings; the High Court dismissed its claim.,captured_from_source,https://www.nzherald.co.nz/business/companies/media-marketing/tvnz-wins-high-court-defamation-battle-over-talleys-safety-reporting/UKQ5QTBGTVGRPN6GGG6VRUAKCY/,strong,reviewed,publishable,TRUE,approved,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2026-12-31,SIG-IN-NZ-005,WEB:NZH-TALLEYS-JUDGMENT-20251217,"Current court outcome involving Talley's workplace-safety reporting. Founder-approved MVP targeting is company-level context across governed AU/NZ descendants, with source geography qualified on-card.",RVEEL-SIGNALS-MVP-2026-09-v0.4
SIG-SR-NZ-003-20260918,NZ-MPI-VOGELS-METAL-20260811,safety_regulatory,NZ,SRC-MPI-RECALL,MPI-VOGELS-METAL-20260811,2026-08-11,https://www.mpi.govt.nz/food-safety-home/food-recalls-and-complaints/recalled-food-products/vogels-brand-various-breads-recalled-as-the-products-may-contain-foreign-matter-small-metal-pieces,Vogel's brand various breads recalled as the products may contain foreign matter (small metal pieces),unsafe_products,Recall: selected Vogel's breads,New Zealand Food Safety recalled selected Vogel's breads because they may contain small metal pieces.,This alert is shown for the six named Vogel's bread products. New Zealand Food Safety says only products with Best Before 15 AUG sold in the South Island are affected; check the product name and date on your pack against the official notice.,,not_applicable,,confirmed,reviewed,publishable,FALSE,not_required,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2026-12-31,SIG-SR-NZ-003,WEB:MPI-VOGELS-METAL-20260811,Current official NZ recall covering six named Vogel's bread products. Product relevance is governed at the Signal target; pack size and Best Before remain consumer qualification rather than publication gates.,RVEEL-SIGNALS-MVP-2026-09-v0.4
SIG-SR-AU-004-20260918,AU-FSANZ-MRCHENS-PEANUT-20260818,safety_regulatory,AU,SRC-FSANZ-RECALL,FSANZ-MRCHENS-20260818,2026-08-18,https://www.foodstandards.gov.au/food-recalls/recall-alert/chen-foods-mr-chens-szechuan-chilli-oil-250g,Chen Foods - Mr Chen's Szechuan Chilli Oil - 250g,unsafe_products,Recall: Mr Chen's Szechuan Chilli Oil 250g,FSANZ reported a national recall because peanut is not declared in the product's Contains statement.,"This alert is shown for Mr Chen's Szechuan Chilli Oil. FSANZ says the recall concerns the 250g product with best-before dates 04/12/2026, 07/04/2027 or 11/12/2027; check the date on your pack.",,not_applicable,,confirmed,reviewed,publishable,FALSE,not_required,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2026-12-31,SIG-SR-AU-004,WEB:FSANZ-MRCHENS-20260818,"Current official national recall with exact product, allergen and date-marking scope.",RVEEL-SIGNALS-MVP-2026-09-v0.4
SIG-SR-AU-005,AU-FSANZ-REDHAT-COOKIA-ALLERGENS-20260911,safety_regulatory,AU,SRC-FSANZ-RECALL,FSANZ-REDHAT-20260911,2026-09-11,https://www.foodstandards.gov.au/food-recalls/recall-alert/alog-australian-wholesalers-pty-ltd-red-hat-cookia-matcha-chocolate,Alog Australian Wholesalers Pty Ltd - Red Hat Cookia Matcha Chocolate Flavor 80g,unsafe_products,Recall: Red Hat Cookia Matcha Chocolate Flavor 80g,"FSANZ recalled Red Hat Cookia Matcha Chocolate Flavor 80g because egg, milk and soy are not declared.",This alert is shown for Red Hat Cookia Matcha Chocolate Flavor. FSANZ says the affected recall scope is the 80g product with best-before dates up to and including 25 February 2027; check your pack against the official notice.,,not_applicable,,confirmed,reviewed,publishable,FALSE,not_required,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2027-02-25,,WEB:FSANZ-REDHAT-20260911,"Current official Australian recall with a named product, allergen and date scope. Product identity gates publication; pack/date details remain consumer qualification.",RVEEL-SIGNALS-MVP-2026-09-v0.4
SIG-SR-AU-006,AU-FSANZ-JCSEAFOOD-SALMON-SOY-20260910,safety_regulatory,AU,SRC-FSANZ-RECALL,FSANZ-JCSEAFOOD-20260910,2026-09-10,https://www.foodstandards.gov.au/food-recalls/recall-alert/jc-seafood-sweet-chilli-lime-salmon-portions-275g,JC Seafood Sweet Chilli & Lime Salmon Portions 275g,unsafe_products,Recall: JC Seafood Sweet Chilli and Lime Salmon Portions 275g,FSANZ recalled JC Seafood Sweet Chilli and Lime Salmon Portions 275g because soy is not declared.,This alert is shown for JC Seafood Sweet Chilli and Lime Salmon Portions. FSANZ says the affected recall scope is the 275g product sold through Woolworths in Western Australia with best before 18 September 2026; check your pack against the official notice.,,not_applicable,,confirmed,reviewed,publishable,FALSE,not_required,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2026-12-31,,WEB:FSANZ-JCSEAFOOD-20260910,"Current official Australian recall with a named product, retailer and date scope. Product identity gates publication; retailer/date details remain consumer qualification.",RVEEL-SIGNALS-MVP-2026-09-v0.4
SIG-SR-AU-007,AU-FSANZ-AUSTRALHERBS-PEPPERMINT-METAL-20260909,safety_regulatory,AU,SRC-FSANZ-RECALL,FSANZ-AUSTRALHERBS-20260909,2026-09-09,https://www.foodstandards.gov.au/food-recalls/recall-alert/greenstorm-foods-ta-austral-herbs-certified-organic-premium-peppermint,Greenstorm Foods t/a Austral Herbs - Certified Organic Premium Peppermint Leaf,unsafe_products,Recall: selected Austral Herbs peppermint leaf packs,FSANZ recalled selected Austral Herbs Certified Organic Premium Peppermint Leaf packs because they may contain metal.,"This alert is shown for Austral Herbs Certified Organic Premium Peppermint Leaf. FSANZ says the affected recall scope is the listed 250g, 1kg, 5kg and 10kg packs with best before 2 April 2029; check your pack against the official notice.",,not_applicable,,confirmed,reviewed,publishable,FALSE,not_required,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2026-12-31,,WEB:FSANZ-AUSTRALHERBS-20260909,Current official Australian recall with a named peppermint-leaf product line and pack/date qualifications. Product identity gates publication; pack/date details remain consumer qualification.,RVEEL-SIGNALS-MVP-2026-09-v0.4
SIG-SR-AU-008,AU-FSANZ-MONSIRE-BRIE-LISTERIA-20260904,safety_regulatory,AU,SRC-FSANZ-RECALL,FSANZ-MONSIRE-AU-20260904,2026-09-04,https://www.foodstandards.gov.au/food-recalls/recall-alert/bottega-1995-brie-mon-sire-1kg,Bottega 1995 - Brie Mon Sire 1kg,unsafe_products,Recall: Brie Mon Sire 1kg,FSANZ recalled Brie Mon Sire 1kg because of possible Listeria monocytogenes contamination.,This alert is shown for Mon Sire Brie. FSANZ says the affected Australian recall scope is the 1kg product sold at Foodland Brighton in South Australia with best before 13 October 2026; check your pack against the official notice.,,not_applicable,,confirmed,reviewed,publishable,FALSE,not_required,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2026-12-31,,WEB:FSANZ-MONSIRE-AU-20260904,"Current official Australian recall for Mon Sire Brie. Product identity plus AU market gates publication; pack size, retailer and date remain consumer qualification.",RVEEL-SIGNALS-MVP-2026-09-v0.4
SIG-SR-NZ-004,NZ-MPI-DONGWON-BEANCURD-ALLERGENS-20260911,safety_regulatory,NZ,SRC-MPI-RECALL,MPI-DONGWON-20260911,2026-09-11,https://www.mpi.govt.nz/food-safety-home/food-recalls-and-complaints/recalled-food-products/dongwon-brand-fried-bean-curd-recalled-due-to-the-presence-of-undeclared-allergens-egg-milk-sesame,Dongwon brand Fried Bean Curd recalled due to undeclared allergens,unsafe_products,Recall: Dongwon Fried Bean Curd 340g,"New Zealand Food Safety recalled Dongwon Fried Bean Curd 340g because egg, milk and sesame are not declared.",This alert is shown for Dongwon Fried Bean Curd. New Zealand Food Safety says all batches and all dates of the named 340g product sold through selected ethnic grocery stores are affected.,,not_applicable,,confirmed,reviewed,publishable,FALSE,not_required,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2026-12-31,,WEB:MPI-DONGWON-20260911,Current official New Zealand recall with a named product and allergen scope. Product identity gates publication; retailer context remains qualification.,RVEEL-SIGNALS-MVP-2026-09-v0.4
SIG-SR-NZ-005,NZ-MPI-WOOLWORTHS-MULTIGRAIN-PLASTIC-20260908,safety_regulatory,NZ,SRC-MPI-RECALL,MPI-WOOLWORTHS-MULTIGRAIN-20260908,2026-09-08,https://www.mpi.govt.nz/food-safety-home/food-recalls-and-complaints/recalled-food-products/woolworths-brand-multi-grain-cereal-recalled-as-the-product-may-contain-foreign-matter-blue-plastic,Woolworths brand Multi Grain Cereal recalled due to possible foreign matter,unsafe_products,Recall: Woolworths Multi Grain Cereal 500g,New Zealand Food Safety recalled Woolworths Multi Grain Cereal 500g because it may contain blue plastic.,"This alert is shown for Woolworths Multi Grain Cereal. New Zealand Food Safety says the affected recall scope is the 500g product sold through Woolworths, FreshChoice and SuperValue with best before 30 April 2027; check your pack against the official notice.",,not_applicable,,confirmed,reviewed,publishable,FALSE,not_required,2026-09-18,2026-09-26,2026-09-26,2026-09-18,2027-04-30,,WEB:MPI-WOOLWORTHS-MULTIGRAIN-20260908,"Current official New Zealand recall with a named Woolworths cereal product. Product identity gates publication; pack size, retailer and date remain consumer qualification.",RVEEL-SIGNALS-MVP-2026-09-v0.4
