signal_target_id,signal_id,market_key,target_type,target_label,canonical_target_id,propagation_mode,required_brand_id,required_parent_id,product_match_terms,verified_gtins,verified_gtin_evidence,scope_review_summary,coverage_state,confidence_state,review_state,resolution_status,lineage_reference,product_scope_guard
TGT-132,SIG-SR-NZ-005,NZ,product,Woolworths Multi Grain Cereal,TGT-132,exact_only,B0001,P0001,multi grain cereal | multigrain cereal,,,"Bounded Woolworths Multi Grain Cereal product target. Verified GTIN is positive-only alternative evidence; otherwise resolved Woolworths identity plus a reviewed product-name term is required. Pack size, retailer and best-before date do not gate publication.",exact_product,confirmed,reviewed,resolved,MPI-WOOLWORTHS-MULTIGRAIN-20260908,
TGT-133,SIG-SR-NZ-006,NZ,product,Mon Sire Brie — NZ recall,TGT-133,exact_only,B0798,P0177,brie,,,"Bounded Mon Sire Brie product target for the New Zealand recall. Verified GTIN is positive-only alternative evidence; otherwise resolved Mon Sire identity plus the reviewed 'brie' term is required. Pack weight, retailer and best-before date do not gate publication. NZ market separation remains mandatory.",exact_product,confirmed,reviewed,resolved,MPI-MONSIRE-NZ-20260904,
TGT-106,SIG-SR-AU-003-20260918,AU+NZ,entity,Coles Group / Coles supermarket context,P0002,entity_descendants,,,,,,Company-level Coles context. Resolve P0002 and current governed descendants through Chaining. AU+NZ is the delivery market; the underlying court conduct occurred in Australia and is qualified on-card.,entity_context,strong,reviewed,resolved,ACCC-39-26,
TGT-107,SIG-IN-AU-001-20260918,AU+NZ,product,Leggo's tomato-based range,TGT-107,exact_only,B0179,P0041,tomato | passata,9300645020823 | 9300645020809 | 9300645022421 | 9300645014495,9300645020823 -> https://www.jbmetro.com.au/140g-leggos-tomato-paste-twin-pack-5501.html ; https://pub.joel.net.au/dumps/myigatas.com.au/volumes/images/News/Covid19/Items-available-for-customers-to-order-on-IGA-Shop-Online.pdf | 9300645020809 -> https://cals.com.au/pasta-sauce/leggo-s-australian-grown-tomato-paste-no-added-salt-140g-x-2-pack/ | 9300645022421 -> https://cuugo.com/product/woolworths/85045/leggos-australian-grown-tomato-paste-no-added-salt ; https://cals.com.au/pasta-sauce/leggo-s-australian-grown-tomato-paste-no-added-salt-500g/ | 9300645014495 -> https://cuugo.com/product/woolworths/259592/leggos-australian-grown-tomato-paste-triple-concentrate-squeeze ; https://cals.com.au/pasta-sauce/leggo-s-australian-grown-tomato-paste-triple-concentrate-squeeze-400g/,"Bounded Leggo's tomato-based product range. A verified GTIN may establish relevance directly; otherwise Chaining must resolve Leggo's and a reviewed product-name term must positively indicate tomato-based relevance. This includes tomato paste and other tomato-based Leggo's products, but does not propagate to non-tomato Leggo's products. Products whose crowdsourced names do not reveal tomato relevance may remain under-fire until a verified GTIN is governed.",exact_product,strong,reviewed,resolved,ABC-106940742-LEGGOS,
TGT-108,SIG-IN-AU-002-20260918,AU+NZ,product,Remano Tomato Paste,TGT-108,exact_only,B0032,P0004,tomato paste,,,Bounded Remano tomato-paste product line. A verified GTIN match may establish relevance directly; otherwise Chaining must resolve Remano and the reviewed product-name term must match. Do not propagate to unrelated Remano or Aldi products.,exact_product,strong,reviewed,resolved,ABC-106940742-REMANO,
TGT-109,SIG-IN-AU-003-20260918,AU+NZ,product,Coles Italian Tomato Paste,TGT-109,exact_only,B0200,P0002,italian tomato paste,,,Bounded Coles Italian Tomato Paste product line. A verified GTIN match may establish relevance directly; otherwise Chaining must resolve the Coles own-label identity and the reviewed product-name term must match. Do not propagate to other Coles tomato products or the wider Coles range.,exact_product,strong,reviewed,resolved,ABC-106940742-COLES-TOMATO,
TGT-110,SIG-IN-AU-004-20260918,AU+NZ,product,Hoyt's Turmeric,TGT-110,exact_only,B0653,P0157,turmeric,9300725012182,9300725012182 -> https://hoytsfood.com.au/wp-content/uploads/2020/07/Metcash-Products.pdf ; https://cuugo.com/product/woolworths/574896/hoyt-s-turmeric,Bounded Hoyt's turmeric product line. A verified GTIN match may establish relevance directly; otherwise Chaining must resolve Hoyt's and the reviewed product-name term must match. Do not propagate to other Hoyt's spices.,exact_product,strong,reviewed,resolved,ABC-106960116-HOYTS,
TGT-111,SIG-IN-AU-005-20260918,AU+NZ,product,Woolworths branded eggs,TGT-111,exact_only,B0001,P0001,eggs,9339687306558 | 9339687306565 | 9339687265794 | 9339687138920 | 9300633636982,9339687306558 -> https://cuugo.com/product/woolworths/224762/woolworths-12-large-free-range-eggs ; https://cals.com.au/eggs/woolworths-12-large-free-range-eggs-600g/ | 9339687306565 -> https://cuugo.com/product/woolworths/224763/woolworths-12-x-large-free-range-eggs ; https://cals.com.au/eggs/woolworths-12-x-large-free-range-eggs-700g/ | 9339687265794 -> https://cuugo.com/product/woolworths/165367/woolworths-12-extra-large-cage-free-eggs ; https://cals.com.au/eggs/woolworths-12-extra-large-cage-free-eggs-700g/ | 9339687138920 -> https://cuugo.com/product/woolworths/74593/woolworths-18-large-cage-free-eggs ; https://cals.com.au/eggs/woolworths-18-large-cage-free-eggs-900g/ | 9300633636982 -> https://www.foodauthority.nsw.gov.au/news/recalls/bridgewater-poultry-eggs,"Woolworths-branded eggs as one bounded product scope. Match any Woolworths egg packet by verified GTIN or resolved Woolworths identity plus the reviewed 'eggs' term. Do not narrow by cage-free, free-range, barn-laid or other egg type. Do not propagate to unrelated Woolworths products.",exact_product,strong,reviewed,resolved,ABC-106960116-WOOLWORTHS-EGGS,
TGT-112,SIG-IN-GL-001-20260918,AU+NZ,brand,Cadbury,B0067,brand_descendants,,,,,,Cadbury brand target across AU/NZ through Chaining. The cocoa_chocolate guard is an additional fail-closed narrowing layer; do not propagate to non-Cadbury Mondelēz brands.,brand_context,strong,reviewed,resolved,ABC-106970782-COCOALIFE,cocoa_chocolate
TGT-114,SIG-IN-NZ-001-20260918,AU+NZ,brand,Keri,B0268,brand_descendants,,,,,,Keri brand-level transparency context. Resolve B0268 through Chaining across AU/NZ. No product-name or GTIN gate is required and the Signal must not propagate to Coca-Cola parent or sibling brands.,brand_context,strong,reviewed,resolved,CONSUMERNZ-KERI-20260211,
TGT-115,SIG-IN-NZ-002-20260918,AU+NZ,product,Anchor Blue Milk Powder,TGT-115,exact_only,B0139,P0020,anchor blue milk powder | blue milk powder,9415262047969 | 9415262050044,9415262047969 -> https://www.thewarehouse.co.nz/p/anchor-blue-milk-powder-1kg/R2700254.html ; https://world.openfoodfacts.org/product/9415262047969 | 9415262050044 -> https://www.buyanz.com/product/11011 ; https://www.letogift.co.nz/product/20063,Bounded Anchor Blue Milk Powder product scope. A verified GTIN match may establish relevance directly; otherwise Chaining must resolve Anchor and a reviewed product-name term must match. Do not propagate to liquid milk or unrelated Anchor products.,exact_product,strong,reviewed,resolved,CONSUMERNZ-ANCHOR-BLUE-20260211,
TGT-116,SIG-IN-NZ-003-20260918,AU+NZ,product,Pams Sparkling Water,TGT-116,exact_only,B0024,P0003,sparkling water,9415077134649,9415077134649 -> https://www.pams.co.nz/product-finder/5261954,Bounded Pams sparkling-water product scope. A verified GTIN match may establish relevance directly; otherwise Chaining must resolve Pams and the reviewed product-name term must match. Do not propagate to unrelated Pams products.,exact_product,strong,reviewed,resolved,RNZ-590339,
TGT-117,SIG-IN-GL-002-20260918,AU+NZ,entity,"Mondelez International, Inc.",P0009,entity_descendants,,,,,,Corporate cocoa/chocolate target named in the source. Resolve the governed entity and current/relevant lineage as authorised; then apply the cocoa_chocolate guard. The guard narrows the base entity scope and never broadens it.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125,cocoa_chocolate
TGT-118,SIG-IN-GL-002-20260918,AU+NZ,entity,Nestlé S.A.,P0008,entity_descendants,,,,,,Corporate cocoa/chocolate target named in the source. Resolve the governed entity and current/relevant lineage as authorised; then apply the cocoa_chocolate guard. The guard narrows the base entity scope and never broadens it.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125,cocoa_chocolate
TGT-119,SIG-IN-GL-002-20260918,AU+NZ,entity,"Mars, Incorporated",P0007,entity_descendants,,,,,,Corporate cocoa/chocolate target named in the source. Resolve the governed entity and current/relevant lineage as authorised; then apply the cocoa_chocolate guard. The guard narrows the base entity scope and never broadens it.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125,cocoa_chocolate
TGT-120,SIG-IN-GL-002-20260918,AU+NZ,entity,The Hershey Company,P0033,entity_descendants,,,,,,Corporate cocoa/chocolate target named in the source. Resolve the governed entity and current/relevant lineage as authorised; then apply the cocoa_chocolate guard. The guard narrows the base entity scope and never broadens it.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125,cocoa_chocolate
TGT-121,SIG-IN-GL-002-20260918,AU+NZ,entity,Unilever PLC — publication-time attribution,P0013,entity_descendants,,,,,,Corporate cocoa/chocolate target named in the source. Resolve the governed entity and current/relevant lineage as authorised; then apply the cocoa_chocolate guard. The guard narrows the base entity scope and never broadens it.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125,cocoa_chocolate
TGT-122,SIG-IN-GL-002-20260918,AU+NZ,brand,Magnum — publication-time bridge,B0105,brand_descendants,,,,,,Explicit publication-time Magnum bridge. Resolve B0105 through Chaining and apply the cocoa_chocolate guard. Do not propagate the historical finding to unrelated current TMICC brands.,brand_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125,cocoa_chocolate
TGT-123,SIG-IN-NZ-004-20260918,AU+NZ,product,Anchor Butter,TGT-123,exact_only,B0139,P0020,butter,,,"Bounded Anchor butter product line. A verified GTIN match may establish relevance directly; otherwise Chaining must resolve Anchor and the reviewed product-name term must match. Do not propagate to liquid milk, milk powder or unrelated Anchor products.",exact_product,strong,reviewed,resolved,NZH-ANCHOR-GRASSFED-20260331,
TGT-124,SIG-IN-NZ-005-20260918,AU+NZ,entity,Talley's Group,P0158,entity_descendants,,,,,,Company-level Talley's context across governed AU/NZ descendants. Resolve P0158 through Chaining. Source geography and allegation scope remain consumer qualification and do not narrow the delivery market by default.,entity_context,strong,reviewed,resolved,NZH-TALLEYS-JUDGMENT-20251217,
TGT-134,SIG-IN-GL-003,AU+NZ,entity,"Mondelez International, Inc.",P0009,entity_descendants,,,,,,Company-level Mondelez target across AU/NZ through Chaining. No product_scope_guard. Comparator companies mentioned in the source are not targets.,entity_context,strong,reviewed,resolved,GW-MONDELEZ-EUDR-20260908,
